currenttime,option,variant,length,diff,time
2017-06-30 00:57:03.447060,0,1,1,0.1094428045373723,0.3183860778808594
2017-06-30 00:57:03.774759,1,1,1,0.1094428045373723,0.3003239631652832
2017-06-30 00:57:04.074461,2,1,1,0.1094428045373723,0.2994210720062256
2017-06-30 00:57:04.381855,3,1,1,0.1094428045373723,0.3071310520172119
2017-06-30 00:57:04.715490,4,1,1,0.10944280454333483,0.33349609375
2017-06-30 00:57:05.015015,5,1,1,0.1094428045373723,0.2993738651275635
2017-06-30 00:57:05.350132,6,1,1,0.10944280454333483,0.33487415313720703
2017-06-30 00:57:05.922800,7,1,1,0.1094428045373723,0.5722920894622803
2017-06-30 00:57:06.489831,8,1,1,0.1094428045373723,0.5668530464172363
2017-06-30 00:57:07.288982,9,1,1,0.1094428045373723,0.7988438606262207
2017-06-30 00:57:07.654724,10,1,1,0.10944280454333483,0.3654780387878418
2017-06-30 00:57:07.974892,11,1,1,0.1094428045373723,0.3199191093444824
2017-06-30 00:57:08.350511,12,1,1,0.10944280454333483,0.37537717819213867
2017-06-30 00:57:08.617359,13,1,1,0.1094428045373723,0.26659178733825684
2017-06-30 00:57:08.939823,14,1,1,0.1094428045373723,0.32219815254211426
2017-06-30 00:57:09.239807,15,1,1,0.1094428045373723,0.2998511791229248
2017-06-30 00:57:09.523567,16,1,1,0.10944280454333483,0.2835230827331543
2017-06-30 00:57:09.880744,17,1,1,0.1094428045373723,0.35704898834228516
2017-06-30 00:57:10.149543,18,1,1,0.10944280454333483,0.26853489875793457
2017-06-30 00:57:10.529620,19,1,1,0.1094428045373723,0.37985801696777344
2017-06-30 00:57:10.800044,20,1,1,0.1094428045373723,0.2701549530029297
2017-06-30 00:57:11.124789,21,1,1,0.1094428045373723,0.3244800567626953
2017-06-30 00:57:11.431687,22,1,1,0.10944280454333483,0.3065929412841797
2017-06-30 00:57:11.693222,23,1,1,0.1094428045373723,0.26126909255981445
2017-06-30 00:57:12.000755,24,1,1,0.10944280454333483,0.3073101043701172
2017-06-30 00:57:12.298419,25,1,1,0.1094428045373723,0.2974371910095215
2017-06-30 00:57:12.573397,26,1,1,0.1094428045373723,0.2746009826660156
2017-06-30 00:57:12.941232,27,1,1,0.1094428045373723,0.36758899688720703
2017-06-30 00:57:13.194211,28,1,1,0.10944280454333483,0.252734899520874
2017-06-30 00:57:13.549666,29,1,1,0.1094428045373723,0.35521388053894043
2017-06-30 00:57:13.843300,30,1,1,0.10944280454333483,0.29331302642822266
2017-06-30 00:57:14.148924,31,1,1,0.1094428045373723,0.305264949798584
2017-06-30 00:57:14.439654,32,1,1,0.1094428045373723,0.2904939651489258
2017-06-30 00:57:14.708488,33,1,1,0.1094428045373723,0.26863813400268555
2017-06-30 00:57:15.305830,0,1,2,0.62934077856499626,0.5970969200134277
2017-06-30 00:57:16.047625,1,1,2,0.10659368790480554,0.7415587902069092
2017-06-30 00:57:16.793246,2,1,2,0.10566054891032677,0.7453851699829102
2017-06-30 00:57:17.460190,3,1,2,0.10435534316315465,0.6666369438171387
2017-06-30 00:57:18.208720,4,1,2,0.10270565644549218,0.7482900619506836
2017-06-30 00:57:18.864979,5,1,2,0.10051464899844073,0.6560189723968506
2017-06-30 00:57:19.626000,6,1,2,0.097590695515099968,0.760749101638794
2017-06-30 00:57:20.379493,7,1,2,0.094050180170646439,0.7532930374145508
2017-06-30 00:57:21.055331,8,1,2,0.089620963057640293,0.6756110191345215
2017-06-30 00:57:21.828933,9,1,2,0.085672133862686795,0.7733561992645264
2017-06-30 00:57:22.507937,10,1,2,0.083780551028059702,0.6787228584289551
2017-06-30 00:57:23.172870,11,1,2,0.08314369089389495,0.6646769046783447
2017-06-30 00:57:23.937899,12,1,2,0.082705496911136489,0.7647700309753418
2017-06-30 00:57:24.707663,13,1,2,0.082486946906281181,0.7695441246032715
2017-06-30 00:57:25.398074,14,1,2,0.082238801389122346,0.6901319026947021
2017-06-30 00:57:26.123469,15,1,2,0.081688965795943203,0.7251491546630859
2017-06-30 00:57:26.793254,16,1,2,0.081685884058854588,0.6693811416625977
2017-06-30 00:57:27.511688,17,1,2,0.08099453792049327,0.7181839942932129
2017-06-30 00:57:28.179802,18,1,2,0.080279798767857041,0.6677899360656738
2017-06-30 00:57:28.857455,19,1,2,0.079438098215441913,0.6774411201477051
2017-06-30 00:57:29.562213,20,1,2,0.078280329842861596,0.7045040130615234
2017-06-30 00:57:30.236405,21,1,2,0.076598396046201139,0.6739330291748047
2017-06-30 00:57:31.056730,22,1,2,0.074556997548616083,0.8200390338897705
2017-06-30 00:57:31.819591,23,1,2,0.071113449121221181,0.7625970840454102
2017-06-30 00:57:32.514491,24,1,2,0.066603696039001653,0.6946449279785156
2017-06-30 00:57:33.190157,25,1,2,0.060111344382922011,0.6753780841827393
2017-06-30 00:57:33.894016,26,1,2,0.050130505682034296,0.7036027908325195
2017-06-30 00:57:34.671157,27,1,2,0.033451681643117202,0.7768659591674805
2017-06-30 00:57:35.377871,28,1,2,0.012092015528393002,0.7064230442047119
2017-06-30 00:57:36.117137,29,1,2,0.39809286648412789,0.7389609813690186
2017-06-30 00:57:36.901111,30,1,2,0.46655985659183613,0.7837100028991699
2017-06-30 00:57:37.715708,31,1,2,0.50692881189382943,0.8143558502197266
2017-06-30 00:57:38.602349,32,1,2,0.53350006239250913,0.8864469528198242
2017-06-30 00:57:39.355424,33,1,2,0.55237820807756799,0.7528400421142578
2017-06-30 00:57:40.243988,0,1,3,0.090126722359444453,0.8869330883026123
2017-06-30 00:57:41.309105,1,1,3,0.1063947944661667,1.064845085144043
2017-06-30 00:57:42.250741,2,1,3,0.10536191902949388,0.941195011138916
2017-06-30 00:57:43.224386,3,1,3,0.10392591809689812,0.9733982086181641
2017-06-30 00:57:44.276912,4,1,3,0.1017650860716459,1.0522189140319824
2017-06-30 00:57:45.282331,5,1,3,0.09890290690732606,1.0051310062408447
2017-06-30 00:57:46.284374,6,1,3,0.094999946614422015,1.0018072128295898
2017-06-30 00:57:47.308825,7,1,3,0.088895321996698487,1.0242419242858887
2017-06-30 00:57:48.327337,8,1,3,0.081891985884803273,1.0182750225067139
2017-06-30 00:57:49.295150,9,1,3,0.075222155547330166,0.9675760269165039
2017-06-30 00:57:50.251297,10,1,3,0.067439790822470411,0.9558858871459961
2017-06-30 00:57:51.596591,11,1,3,0.05713008757776325,1.3451240062713623
2017-06-30 00:57:53.272639,12,1,3,0.04503840392217192,1.6757540702819824
2017-06-30 00:57:54.405956,13,1,3,0.034006109909131672,1.133044958114624
2017-06-30 00:57:55.585495,14,1,3,0.02589405210611875,1.1793010234832764
2017-06-30 00:57:56.600830,15,1,3,0.020628311517193115,1.0151522159576416
2017-06-30 00:57:57.575785,16,1,3,0.017436375688388104,0.9746849536895752
2017-06-30 00:57:58.528026,17,1,3,0.01555003580951588,0.9520108699798584
2017-06-30 00:57:59.607973,18,1,3,0.014459594267941729,1.0796949863433838
2017-06-30 00:58:00.648323,19,1,3,0.013835888197205897,1.040038824081421
2017-06-30 00:58:01.694016,20,1,3,0.01349376295075114,1.0454399585723877
2017-06-30 00:58:02.653410,21,1,3,0.013277586900978362,0.9591660499572754
2017-06-30 00:58:03.664059,22,1,3,0.01318112418674584,1.0104129314422607
2017-06-30 00:58:04.623120,23,1,3,0.013101017794850373,0.9588441848754883
2017-06-30 00:58:05.579973,24,1,3,0.013067580330456505,0.956632137298584
2017-06-30 00:58:07.007615,25,1,3,0.013040909429872839,1.427443027496338
2017-06-30 00:58:08.176310,26,1,3,0.013030268368441466,1.1682429313659668
2017-06-30 00:58:09.114877,27,1,3,0.013023154629585901,0.9383220672607422
2017-06-30 00:58:10.074699,28,1,3,0.013018569794478924,0.9374120235443115
2017-06-30 00:58:11.354150,29,1,3,0.013016771335347193,1.2792038917541504
2017-06-30 00:58:12.862662,30,1,3,0.013015128085627096,1.5081980228424072
2017-06-30 00:58:14.478419,31,1,3,0.013014450840894202,1.6155009269714355
2017-06-30 00:58:15.747970,32,1,3,0.013013819321170086,1.2692859172821045
2017-06-30 00:58:16.831503,33,1,3,0.013013659104796993,1.083277940750122
2017-06-30 00:58:18.042078,0,1,4,0.10652526630436369,1.210301160812378
2017-06-30 00:58:19.370513,1,1,4,0.10638993177297755,1.3282067775726318
2017-06-30 00:58:20.760853,2,1,4,0.10534726784542098,1.3900718688964844
2017-06-30 00:58:22.140098,3,1,4,0.10386549847721419,1.3789870738983154
2017-06-30 00:58:23.540118,4,1,4,0.10175466278868574,1.3788371086120605
2017-06-30 00:58:24.934476,5,1,4,0.098794494770125224,1.394110918045044
2017-06-30 00:58:26.251767,6,1,4,0.094308633519330581,1.3170139789581299
2017-06-30 00:58:27.647181,7,1,4,0.088112257948029724,1.395164966583252
2017-06-30 00:58:28.963743,8,1,4,0.081066142023417609,1.3163139820098877
2017-06-30 00:58:30.381964,9,1,4,0.07466614914669191,1.4178481101989746
2017-06-30 00:58:31.767666,10,1,4,0.066972723874492948,1.385368824005127
2017-06-30 00:58:33.306507,11,1,4,0.056689136034424145,1.5384957790374756
2017-06-30 00:58:34.555839,12,1,4,0.044777036831661253,1.2491369247436523
2017-06-30 00:58:35.935548,13,1,4,0.033660834686267377,1.379457950592041
2017-06-30 00:58:37.792718,14,1,4,0.025941466701699011,1.8568799495697021
2017-06-30 00:58:39.195390,15,1,4,0.020567363805226575,1.4023950099945068
2017-06-30 00:58:40.576593,16,1,4,0.017350227811286874,1.3809659481048584
2017-06-30 00:58:42.854165,17,1,4,0.015432712252570362,2.277266025543213
2017-06-30 00:58:44.157784,18,1,4,0.014301273072872435,1.2975571155548096
2017-06-30 00:58:45.419555,19,1,4,0.013650523575140433,1.2615489959716797
2017-06-30 00:58:46.799807,20,1,4,0.013265270066772973,1.3800048828125
2017-06-30 00:58:48.042442,21,1,4,0.013027841004071224,1.2423100471496582
2017-06-30 00:58:49.320198,22,1,4,0.012850208904145803,1.2774958610534668
2017-06-30 00:58:50.729209,23,1,4,0.012702376396104864,1.408742904663086
2017-06-30 00:58:52.065051,24,1,4,0.012557822253310449,1.3356809616088867
2017-06-30 00:58:53.963191,25,1,4,0.012391827061831725,1.897881031036377
2017-06-30 00:58:55.640345,26,1,4,0.012190688626069571,1.6768600940704346
2017-06-30 00:58:56.950838,27,1,4,0.011921144065215968,1.3102350234985352
2017-06-30 00:58:58.241138,28,1,4,0.011569816846861945,1.290046215057373
2017-06-30 00:58:59.595080,29,1,4,0.011101781033011349,1.3537108898162842
2017-06-30 00:59:00.992409,30,1,4,0.79831537695523069,1.397094964981079
2017-06-30 00:59:02.257505,31,1,4,0.79836124259850394,1.2647490501403809
2017-06-30 00:59:03.676347,32,1,4,0.0094425685560033147,1.4186508655548096
2017-06-30 00:59:04.995969,33,1,4,0.79842133332930243,1.3194098472595215
2017-06-30 00:59:06.505701,0,1,5,0.099369504659944527,1.5083298683166504
2017-06-30 00:59:08.377805,1,1,5,0.10638961751935976,1.871873140335083
2017-06-30 00:59:09.914508,2,1,5,0.10534664535983485,1.5364270210266113
2017-06-30 00:59:11.576460,3,1,5,0.10398332756489259,1.661675214767456
2017-06-30 00:59:13.149620,4,1,5,0.10171538322632977,1.57281494140625
2017-06-30 00:59:14.634662,5,1,5,0.098617549332911614,1.4847750663757324
2017-06-30 00:59:16.156312,6,1,5,0.094276867095562419,1.5214731693267822
2017-06-30 00:59:17.763140,7,1,5,0.088015195243805064,1.6065130233764648
