currenttime,choice,l,time
56:11.7,H,4,0.015913963
56:11.7,H,4,0.020117044
56:11.8,H,4,0.011317968
56:11.8,H,4,0.010668039
56:11.8,H,4,0.007373095
56:11.9,H,4,0.007900238
56:11.9,H,4,0.027051926
56:12.0,H,4,0.033522844
56:12.0,H,4,0.011747837
56:12.1,H,4,0.018206835
56:12.1,H,4,0.007589102
56:12.1,H,4,0.006641865
56:12.1,H,4,0.007112265
56:12.2,H,4,0.017812014
56:12.2,H,4,0.011656046
56:12.2,H,5,0.01843977
56:12.3,H,5,0.008767366
56:12.3,H,5,0.007782221
56:12.3,H,5,0.007387161
56:12.3,H,5,0.007550955
56:12.4,H,5,0.032527685
56:12.4,H,5,0.029789209
56:12.5,H,5,0.03087306
56:12.5,H,5,0.010458946
56:12.6,H,5,0.033104897
56:12.6,H,5,0.021025896
56:12.7,H,5,0.008769035
56:12.7,H,5,0.008141994
56:12.7,H,5,0.007370949
56:12.7,H,5,0.007430077
56:12.7,H,5,0.007359982
56:12.8,H,5,0.007361174
56:12.8,H,5,0.007007837
56:12.8,H,5,0.008324146
56:12.8,H,5,0.017482042
56:12.9,H,5,0.024332047
56:12.9,H,5,0.01891017
56:13.0,H,5,0.028428078
56:13.0,H,5,0.025135279
56:13.1,H,5,0.025433779
56:13.1,H,5,0.021126986
56:13.2,H,5,0.008388042
56:13.2,H,5,0.007673025
56:13.2,H,5,0.007423878
56:13.2,H,5,0.007408142
56:13.2,H,5,0.009840012
56:13.3,H,5,0.039906979
56:13.4,H,5,0.023479939
56:13.4,H,5,0.025731087
56:13.4,H,5,0.00863719
56:13.4,H,5,0.008006811
56:13.5,H,5,0.024125814
56:13.5,H,5,0.027596951
56:13.6,H,5,0.029573917
56:13.6,H,5,0.008813858
56:13.6,H,5,0.007959127
56:13.7,H,5,0.007163048
56:13.7,H,5,0.007594109
56:13.7,H,5,0.008116007
56:13.7,H,5,0.020492077
56:13.8,H,5,0.020576
56:13.8,H,5,0.026540756
56:13.9,H,5,0.017955065
56:13.9,H,5,0.008478165
56:13.9,H,5,0.010782957
56:14.0,H,6,0.02224803
56:14.0,H,6,0.030282974
56:14.1,H,6,0.02270627
56:14.1,H,6,0.010264158
56:14.1,H,6,0.017759085
56:14.2,H,6,0.025555849
56:14.2,H,6,0.034559011
56:14.3,H,6,0.021252155
56:14.3,H,6,0.010085106
56:14.3,H,6,0.008998156
56:14.3,H,6,0.008484125
56:14.4,H,6,0.008612871
56:14.4,H,6,0.010402918
56:14.4,H,6,0.025754213
56:14.5,H,6,0.047204018
56:14.6,H,6,0.023095846
56:14.6,H,6,0.010655165
56:14.6,H,6,0.017775774
56:14.7,H,6,0.025990009
56:14.7,H,6,0.009996176
56:14.7,H,6,0.008974075
56:14.7,H,6,0.008651018
56:14.8,H,6,0.008205175
56:14.8,H,6,0.00812912
56:14.8,H,6,0.009017944
56:14.8,H,6,0.022546053
56:14.9,H,6,0.031434059
56:15.0,H,6,0.026501894
56:15.0,H,6,0.019736052
56:15.0,H,6,0.021275759
56:15.1,H,6,0.019480944
56:15.1,H,6,0.011819124
56:15.2,H,6,0.010222197
56:15.2,H,6,0.008695841
56:15.2,H,6,0.008494854
56:15.2,H,6,0.019947052
56:15.3,H,6,0.029770851
56:15.3,H,6,0.023447752
56:15.4,H,6,0.026751041
56:15.4,H,6,0.010110855
56:15.4,H,6,0.009042978
56:15.4,H,6,0.013427973
56:15.5,H,6,0.027562141
56:15.5,H,6,0.030437708
56:15.6,H,6,0.023770094
56:15.6,H,6,0.009758949
56:15.7,H,6,0.035313845
56:15.8,H,6,0.037663937
56:15.8,H,6,0.010613918
56:15.8,H,6,0.008909225
