currenttime,method,f,accuracy,precision,recall,learntime,proptime
2020-02-24 23:47:21.162163,DCE1,0.2260697788358622,0.802424195932696,0.8029372054011498,0.8039632243380574,0.029088497161865234,2.2722394466400146
2020-02-24 23:47:21.179520,DCE1,0.9,0.9332792885401728,0.9332792885401728,0.9332792885401728,0.03358125686645508,2.386449098587036
2020-02-24 23:47:23.663332,DCEr1,0.2260697788358622,0.8044588171151812,0.804971826583635,0.8059978455205427,0.0558624267578125,2.214979648590088
2020-02-24 23:47:23.734816,DCEr1,0.9,0.932185675241835,0.932185675241835,0.932185675241835,0.0513458251953125,2.389204263687134
2020-02-24 23:47:34.186942,DCE1,0.14264038732150022,0.852769556926909,0.8532487913407848,0.8541331941272542,0.03081488609313965,2.1125271320343018
2020-02-24 23:47:34.256339,DCE1,0.567861610032174,0.8833305668112175,0.8834454133044481,0.8836751062909095,0.03264188766479492,2.21038556098938
2020-02-24 23:47:36.735438,DCEr1,0.14264038732150022,0.8440796570445456,0.8444975811699834,0.8453206736680144,0.05758380889892578,2.2634785175323486
2020-02-24 23:47:36.776605,DCEr1,0.567861610032174,0.8847477142957807,0.8848625607890114,0.8850922537754727,0.03742647171020508,2.342226505279541
2020-02-24 23:47:49.875447,DCE1,0.35829645349814754,0.8525840725940265,0.8526614119303718,0.8528160906030626,0.050942420959472656,2.774237871170044
2020-02-24 23:47:52.581315,DCEr1,0.35829645349814754,0.851528836070291,0.8516061754066365,0.8517608540793274,0.04405069351196289,2.377833843231201
2020-02-24 23:47:57.912303,DCE1,0.09000000000000001,0.7780542703948524,0.7786692339163462,0.7798294501949145,0.026766300201416016,2.649771213531494
2020-02-24 23:48:00.506842,DCEr1,0.09000000000000001,0.7872739702316541,0.7878192229887283,0.7889097285028767,0.07370686531066895,2.3068859577178955
2020-02-24 23:48:04.214377,DCE1,0.0567861610032174,0.7475877045261212,0.7481285079634423,0.7491428463829176,0.044835567474365234,2.8048136234283447
2020-02-24 23:48:07.731431,DCEr1,0.0567861610032174,0.7511395257479226,0.7517267658357983,0.7527875409058283,0.08246779441833496,3.2471323013305664
2020-02-24 23:48:14.608312,DCE1,0.014264038732150021,0.675222461081357,0.6759531139741499,0.6772079630490152,0.06368613243103027,2.2383155822753906
2020-02-24 23:48:17.268424,DCEr1,0.014264038732150021,0.6744241633269422,0.6750904446059383,0.6762809220670066,0.08142566680908203,2.3938069343566895
2020-02-24 23:48:17.723495,DCE1,0.035829645349814754,0.794669919271111,0.7952677591680922,0.7962773603656154,0.05051231384277344,2.224287986755371
2020-02-24 23:48:20.260407,DCEr1,0.035829645349814754,0.8000396299346786,0.8005058557686525,0.8013838429031684,0.04166722297668457,2.308763265609741
2020-02-24 23:48:31.202194,DCE1,0.009000000000000001,0.5916363355331552,0.5930937411845467,0.5952021920126902,0.07793784141540527,3.1836624145507812
2020-02-24 23:48:34.302046,DCEr1,0.009000000000000001,0.5967637287446335,0.5980753856829928,0.600038087798104,0.14854097366333008,2.7526447772979736
2020-02-24 23:48:40.460080,DCE1,0.022606977883586222,0.7001227310506408,0.7009491062645322,0.7023264690913331,0.05987119674682617,2.6667277812957764
2020-02-24 23:48:43.161606,DCEr1,0.022606977883586222,0.7035950246989985,0.7043677383487624,0.7056914396114357,0.07389974594116211,2.4112548828125
2020-02-24 23:48:46.738617,DCE1,0.00567861610032174,0.6137813738328509,0.6153069710802997,0.6176558023252023,0.030444622039794922,2.8430697917938232
2020-02-24 23:48:49.456523,DCEr1,0.00567861610032174,0.6130043497261705,0.6143723882906287,0.616593063104753,0.11403036117553711,2.399477481842041
2020-02-24 23:48:54.764405,DCE1,0.0035829645349814755,0.6308646436496934,0.6319887426862872,0.6338875794154768,0.04739093780517578,2.284550428390503
2020-02-24 23:48:57.254909,DCEr1,0.0035829645349814755,0.6311369080280205,0.6322500313210078,0.6341378923065907,0.16208744049072266,2.127253770828247
2020-02-24 23:48:58.965035,DCE1,0.0009000000000000001,0.0,0.33333333333333326,1.0,0.13352298736572266,2.1294312477111816
2020-02-24 23:49:02.042145,DCEr1,0.0009000000000000001,0.6222780033970063,0.6243860699767126,0.627894678449657,0.07582783699035645,2.783506393432617
2020-02-24 23:49:09.596722,DCE1,0.002260697788358622,0.640430001440391,0.6423012434840748,0.6449552316551257,0.060018062591552734,2.3204596042633057
2020-02-24 23:49:11.091775,DCE1,0.0005678616100321739,0.0,0.33333333333333326,1.0,0.023120880126953125,2.0833003520965576
2020-02-24 23:49:12.187818,DCEr1,0.002260697788358622,0.6401539558408021,0.6419593245329905,0.644547439352546,0.06916451454162598,2.333573341369629
2020-02-24 23:49:13.556439,DCEr1,0.0005678616100321739,0.6098867575998695,0.6143053105190285,0.6209940454772783,0.05608415603637695,2.2144157886505127
2020-02-24 23:49:21.591117,DCE1,0.0014264038732150022,0.0,0.3333333333333333,1.0,0.023036956787109375,2.0383846759796143
2020-02-24 23:49:23.569275,DCE1,0.00035829645349814754,0.0,0.33333333333333326,1.0,0.05463409423828125,1.978773832321167
2020-02-24 23:49:24.675366,DCEr1,0.0014264038732150022,0.37742807304024856,0.3808495297365742,0.38644360918869936,0.45478010177612305,2.406181573867798
2020-02-24 23:49:26.211143,DCEr1,0.00035829645349814754,0.33256562839584597,0.3346163114958543,0.33811520683911517,0.08367919921875,2.343242883682251
2020-02-24 23:49:32.480472,DCE1,0.00022606977883586222,0.0,0.33333333333333326,1.0,0.021666765213012695,1.5982246398925781
