currenttime,option,f,accuracy
2018-06-18 19:06:49.893953,opt1,0.9,0.6844196125199384
2018-06-18 19:06:50.295729,opt2,0.9,0.6998981520257989
2018-06-18 19:06:50.835041,opt3,0.9,0.6995608554577913
2018-06-18 19:06:51.124086,opt4,0.9,0.6958256573562894
2018-06-18 19:06:52.338853,opt5,0.9,0.6958256573562894
2018-06-18 19:06:52.455381,opt1,0.567861610032174,0.6312467598613716
2018-06-18 19:06:52.727899,opt2,0.567861610032174,0.21950830193313445
2018-06-18 19:06:53.275161,opt3,0.567861610032174,0.6328468064180744
2018-06-18 19:06:53.545238,opt4,0.567861610032174,0.6346848555722546
2018-06-18 19:06:55.783968,opt5,0.567861610032174,0.6331416456957114
2018-06-18 19:06:55.955673,opt1,0.35829645349814754,0.5739727143956218
2018-06-18 19:06:56.341443,opt2,0.35829645349814754,0.5800167243122866
2018-06-18 19:06:57.094778,opt3,0.35829645349814754,0.5797509898453123
2018-06-18 19:06:57.415064,opt4,0.35829645349814754,0.5714932139743267
2018-06-18 19:06:59.323421,opt5,0.35829645349814754,0.5721772408477587
2018-06-18 19:06:59.493488,opt1,0.2260697788358622,0.535147815216013
2018-06-18 19:06:59.942220,opt2,0.2260697788358622,0.5339584316403365
2018-06-18 19:07:00.485616,opt3,0.2260697788358622,0.5348083981894085
2018-06-18 19:07:00.685910,opt4,0.2260697788358622,0.5369984555137566
2018-06-18 19:07:02.486665,opt5,0.2260697788358622,0.5358125249925819
2018-06-18 19:07:02.643243,opt1,0.14264038732150022,0.4779755829014964
2018-06-18 19:07:02.868301,opt2,0.14264038732150022,0.48031239997889125
2018-06-18 19:07:03.675161,opt3,0.14264038732150022,0.47923045562246475
2018-06-18 19:07:04.079560,opt4,0.14264038732150022,0.47645560010448684
2018-06-18 19:07:05.300059,opt5,0.14264038732150022,0.47645560010448684
2018-06-18 19:07:05.499927,opt1,0.09000000000000001,0.44023881014565064
2018-06-18 19:07:06.135678,opt2,0.09000000000000001,0.4465674142114692
2018-06-18 19:07:06.898516,opt3,0.09000000000000001,0.44678954064906334
2018-06-18 19:07:07.080028,opt4,0.09000000000000001,0.44308355736147814
2018-06-18 19:07:08.301476,opt5,0.09000000000000001,0.4425448297633694
2018-06-18 19:07:08.496483,opt1,0.0567861610032174,0.41045122869473105
2018-06-18 19:07:08.976508,opt2,0.0567861610032174,0.4051784118124582
2018-06-18 19:07:09.557223,opt3,0.0567861610032174,0.4056951052943559
2018-06-18 19:07:09.877560,opt4,0.0567861610032174,0.3963927884414917
2018-06-18 19:07:10.863745,opt5,0.0567861610032174,0.3966888215972051
2018-06-18 19:07:10.999955,opt1,0.035829645349814754,0.37785347347212794
2018-06-18 19:07:11.383403,opt2,0.035829645349814754,0.3795612136232254
2018-06-18 19:07:11.932600,opt3,0.035829645349814754,0.3806350303630835
2018-06-18 19:07:12.144181,opt4,0.035829645349814754,0.379908292536489
2018-06-18 19:07:13.629475,opt5,0.035829645349814754,0.3782741606228539
2018-06-18 19:07:13.730418,opt1,0.022606977883586222,0.3190133859461165
2018-06-18 19:07:14.093697,opt2,0.022606977883586222,0.21577714824600572
2018-06-18 19:07:14.365253,opt3,0.022606977883586222,0.22081865405116177
2018-06-18 19:07:14.593931,opt4,0.022606977883586222,0.31392309913609295
2018-06-18 19:07:15.883801,opt5,0.022606977883586222,0.2809192117684687
2018-06-18 19:07:16.000479,opt1,0.014264038732150021,0.2593075235789091
2018-06-18 19:07:16.519705,opt2,0.014264038732150021,0.09711517822923703
2018-06-18 19:07:16.764752,opt3,0.014264038732150021,0.09839662893327113
2018-06-18 19:07:17.028954,opt4,0.014264038732150021,0.23931365836612542
2018-06-18 19:07:18.749820,opt5,0.014264038732150021,0.25274156445870216
2018-06-18 19:07:18.876164,opt1,0.009000000000000001,0.22717722173795665
2018-06-18 19:07:19.446945,opt2,0.009000000000000001,0.03983975298183986
2018-06-18 19:07:19.571998,opt3,0.009000000000000001,0.02958216203541914
2018-06-18 19:07:19.835738,opt4,0.009000000000000001,0.21572002349841946
2018-06-18 19:07:20.518349,opt5,0.009000000000000001,0.2082011733087432
2018-06-18 19:07:20.620118,opt1,0.00567861610032174,0.1832626899311931
2018-06-18 19:07:21.057987,opt2,0.00567861610032174,0.021962880454194127
2018-06-18 19:07:21.367310,opt3,0.00567861610032174,0.018383292396085018
2018-06-18 19:07:21.567899,opt4,0.00567861610032174,0.1571502947477819
2018-06-18 19:07:22.004957,opt5,0.00567861610032174,0.1868947993160163
2018-06-18 19:07:22.108901,opt1,0.0035829645349814755,0.1568497721555556
2018-06-18 19:07:22.540008,opt2,0.0035829645349814755,0.009362659865130692
2018-06-18 19:07:22.679089,opt3,0.0035829645349814755,0.010521921893957939
2018-06-18 19:07:22.859691,opt4,0.0035829645349814755,0.1625979445703947
2018-06-18 19:07:23.836913,opt5,0.0035829645349814755,0.16362355273886
2018-06-18 19:07:23.985710,opt1,0.002260697788358622,0.10958212338390703
2018-06-18 19:07:24.108011,opt2,0.002260697788358622,0.0
2018-06-18 19:07:24.240151,opt3,0.002260697788358622,0.0
2018-06-18 19:07:24.370063,opt4,0.002260697788358622,0.0
2018-06-18 19:07:25.459071,opt5,0.002260697788358622,0.112477894254058
2018-06-18 19:07:25.637344,opt1,0.0014264038732150022,0.10718642690986348
2018-06-18 19:07:25.757998,opt2,0.0014264038732150022,0.0
2018-06-18 19:07:25.877572,opt3,0.0014264038732150022,0.0
2018-06-18 19:07:26.072912,opt4,0.0014264038732150022,0.0
