currenttime,option,lensplit,f,accuracy,timetaken
2017-07-03 02:55:05.393343,opt3,len5,0.003,0.57342026078234709,0.04499197006225586
2017-07-03 02:55:07.291982,opt4,len5,0.003,0.57211634904714137,0.11598491668701172
2017-07-03 03:19:01.970789,opt5,split8,0.003,0.58395185556670015,778.5454339981079
2017-07-03 03:19:04.285002,opt5,split1,0.003,0.58395185556670015,84.31277585029602
2017-07-03 03:19:06.579811,opt5,split2,0.003,0.47041123370110333,191.93131518363953
2017-07-03 03:19:08.655759,opt5,split4,0.003,0.57853560682046135,378.06890296936035
2017-07-03 03:19:10.537729,opt6,0,0.003,0.58054162487462391,0
2017-07-03 03:19:12.628662,opt1,len5,0.003,0.44844533600802405,0.03739500045776367
2017-07-03 03:19:14.760111,opt2,len5,0.003,0.44914744232698095,0.12223505973815918
2017-07-03 03:19:17.222767,opt3,len5,0.003,0.63941825476429293,0.061142921447753906
2017-07-03 03:19:19.620995,opt4,len5,0.003,0.63871614844533597,0.1645810604095459
2017-07-03 03:44:01.846967,opt5,split8,0.003,0.61043129388164497,798.3324341773987
2017-07-03 03:44:04.165034,opt5,split1,0.003,0.51053159478435306,85.75440192222595
2017-07-03 03:44:06.123679,opt5,split2,0.003,0.53650952858575729,186.61457705497742
2017-07-03 03:44:08.255451,opt5,split4,0.003,0.57311935807422265,409.7591540813446
2017-07-03 03:44:10.401103,opt6,0,0.003,0.6422266800401204,0
2017-07-03 03:44:12.358326,opt1,len5,0.003,0.37271815446339018,0.03630995750427246
2017-07-03 03:44:14.101352,opt2,len5,0.003,0.0,0.03166604042053223
2017-07-03 03:44:16.112753,opt3,len5,0.003,0.53430290872617858,0.029115915298461914
2017-07-03 03:44:18.244911,opt4,len5,0.003,0.65406218655967907,0.14093494415283203
2017-07-03 04:07:08.115245,opt5,split8,0.003,0.49689067201604814,714.9247601032257
2017-07-03 04:07:10.390414,opt5,split1,0.003,0.47763289869608827,91.16864395141602
2017-07-03 04:07:12.364656,opt5,split2,0.003,0.61013039117352053,169.9493339061737
2017-07-03 04:07:14.500174,opt5,split4,0.003,0.48676028084252759,392.0930941104889
2017-07-03 04:07:16.377372,opt6,0,0.003,0.65556670010030094,0
2017-07-03 04:07:18.267602,opt1,len5,0.003,0.61404212637913747,0.03480386734008789
2017-07-03 04:07:20.258921,opt2,len5,0.003,0.60962888665997994,0.14670395851135254
2017-07-03 04:07:22.190674,opt3,len5,0.003,0.59598796389167508,0.04669904708862305
2017-07-03 04:07:24.416237,opt4,len5,0.003,0.59598796389167508,0.1455519199371338
2017-07-03 04:30:47.212950,opt5,split8,0.003,0.54804413239719163,815.8112099170685
2017-07-03 04:30:49.580567,opt5,split1,0.003,0.49137412236710132,89.02444291114807
2017-07-03 04:30:51.861976,opt5,split2,0.003,0.56499498495486455,166.22379899024963
2017-07-03 04:30:54.153155,opt5,split4,0.003,0.49137412236710132,329.95206809043884
2017-07-03 04:30:56.346420,opt6,0,0.003,0.60120361083249751,0
2017-07-03 04:30:58.482998,opt1,len5,0.003,0.0,0.03530097007751465
2017-07-03 04:31:00.731632,opt2,len5,0.003,0.0,0.03467702865600586
2017-07-03 04:31:02.759413,opt3,len5,0.003,0.0,0.01715397834777832
2017-07-03 04:31:04.903346,opt4,len5,0.003,0.62036108324974926,0.14511799812316895
2017-07-03 04:53:33.713385,opt5,split8,0.003,0.59378134403209626,707.5001389980316
2017-07-03 04:53:35.735229,opt5,split1,0.003,0.60040120361083249,83.35905599594116
2017-07-03 04:53:37.500917,opt5,split2,0.003,0.60040120361083249,182.62262988090515
2017-07-03 04:53:39.535824,opt5,split4,0.003,0.60040120361083249,373.5652611255646
2017-07-03 04:53:41.365667,opt6,0,0.003,0.6304914744232698,0
2017-07-03 04:53:43.243141,opt1,len5,0.003,0.62236710130391171,0.04234194755554199
2017-07-03 04:53:45.175460,opt2,len5,0.003,0.62758274824473426,0.0685429573059082
2017-07-03 04:53:47.046756,opt3,len5,0.003,0.62186559679037112,0.05319404602050781
2017-07-03 04:53:48.967619,opt4,len5,0.003,0.62066198595787359,0.1746540069580078
2017-07-03 05:17:40.450593,opt5,split8,0.003,0.60732196589769305,775.8564879894257
2017-07-03 05:17:42.655014,opt5,split1,0.003,0.48936810431293881,88.00385785102844
2017-07-03 05:17:44.844147,opt5,split2,0.003,0.60732196589769305,177.6088490486145
2017-07-03 05:17:46.950900,opt5,split4,0.003,0.51965897693079233,388.2485649585724
2017-07-03 05:17:48.774624,opt6,0,0.003,0.62236710130391171,0
2017-07-03 05:17:50.630064,opt1,len5,0.003,0.46028084252758272,0.03817009925842285
2017-07-03 05:17:52.503332,opt2,len5,0.003,0.46158475426278839,0.07828092575073242
2017-07-03 05:17:54.598308,opt3,len5,0.003,0.60100300902708126,0.029385805130004883
2017-07-03 05:17:56.919433,opt4,len5,0.003,0.60010030090270816,0.15104198455810547
2017-07-03 05:42:33.370954,opt5,split8,0.003,0.50230692076228689,799.8271510601044
2017-07-03 05:42:35.826367,opt5,split1,0.003,0.49027081243731191,100.24344182014465
2017-07-03 05:42:37.833704,opt5,split2,0.003,0.46519558676028083,183.6629240512848
2017-07-03 05:42:39.949657,opt5,split4,0.003,0.53851554663991974,390.90485882759094
2017-07-03 05:42:41.714757,opt6,0,0.003,0.60551654964894686,0
2017-07-03 05:42:43.418811,opt1,len5,0.003,0.0,0.016887903213500977
2017-07-03 05:42:45.303726,opt2,len5,0.003,0.0,0.03414797782897949
2017-07-03 05:42:47.170492,opt3,len5,0.003,0.0,0.03619098663330078
2017-07-03 05:42:49.076349,opt4,len5,0.003,0.64262788365095291,0.1494760513305664
2017-07-03 06:09:49.231019,opt5,split8,0.003,0.63239719157472418,958.7820119857788
2017-07-03 06:09:51.705416,opt5,split1,0.003,0.61043129388164497,99.67073392868042
2017-07-03 06:09:53.969208,opt5,split2,0.003,0.5112337011033099,176.71764707565308
2017-07-03 06:09:55.988742,opt5,split4,0.003,0.56218655967903708,383.06470489501953
2017-07-03 06:09:57.785319,opt6,0,0.003,0.6431293881644935,0
2017-07-03 06:10:00.133731,opt1,len5,0.003,0.59077231695085253,0.038671016693115234
2017-07-03 06:10:02.562267,opt2,len5,0.003,0.5940822467402207,0.13810420036315918
2017-07-03 06:10:04.555415,opt3,len5,0.003,0.62417251755265801,0.028326988220214844
2017-07-03 06:10:06.672065,opt4,len5,0.003,0.62477432296890667,0.14261794090270996
2017-07-03 06:36:04.960588,opt5,split8,0.003,0.50050150451354058,905.9687948226929
2017-07-03 06:36:07.050180,opt5,split1,0.003,0.59117352056168504,81.00322008132935
2017-07-03 06:36:09.283585,opt5,split2,0.003,0.49628886659979937,187.95759892463684
2017-07-03 06:36:11.526411,opt5,split4,0.003,0.51494483450351058,381.5941140651703
2017-07-03 06:36:13.849287,opt6,0,0.003,0.62557673019057169,0
2017-07-03 06:36:15.740759,opt1,len5,0.003,0.48324974924774322,0.018139123916625977
2017-07-03 06:36:17.893532,opt2,len5,0.003,0.50341023069207624,0.09758901596069336
2017-07-03 06:36:19.940358,opt3,len5,0.003,0.60471414242728183,0.05843305587768555
2017-07-03 06:36:21.874131,opt4,len5,0.003,0.60511534603811434,0.1274580955505371
2017-07-03 06:58:18.398639,opt5,split8,0.003,0.53921765295887658,714.5748100280762
2017-07-03 06:58:20.594264,opt5,split1,0.003,0.47743229689067201,83.95678901672363
2017-07-03 06:58:22.598049,opt5,split2,0.003,0.5720160481444333,187.3123700618744
2017-07-03 06:58:24.540129,opt5,split4,0.003,0.56980942828485459,328.85048508644104
2017-07-03 06:58:26.675822,opt6,0,0.003,0.60571715145436311,0
2017-07-03 06:58:28.904568,opt1,len5,0.003,0.44573721163490471,0.03446698188781738
2017-07-03 06:58:31.364022,opt2,len5,0.003,0.44684052156469406,0.12611603736877441
2017-07-03 06:58:33.418033,opt3,len5,0.003,0.54162487462387165,0.027613162994384766
2017-07-03 06:58:35.327380,opt4,len5,0.003,0.6268806419257773,0.17804598808288574
2017-07-03 07:22:32.333506,opt5,split8,0.003,0.60922768304914743,730.4833071231842
2017-07-03 07:22:34.525265,opt5,split1,0.003,0.48836509528585759,91.11960792541504
2017-07-03 07:22:36.945234,opt5,split2,0.003,0.54072216649949845,186.68643593788147
2017-07-03 07:22:39.184594,opt5,split4,0.003,0.4712136409227683,426.8906080722809
2017-07-03 07:22:41.133267,opt6,0,0.003,0.62076228686058177,0
2017-07-03 07:22:43.041945,opt1,len5,0.003,0.43660982948846538,0.03670501708984375
2017-07-03 07:22:45.069664,opt2,len5,0.003,0.36730190571715143,0.15339899063110352
2017-07-03 07:22:47.075896,opt3,len5,0.003,0.57241725175526581,0.02857804298400879
2017-07-03 07:22:49.083807,opt4,len5,0.003,0.57051153460381143,0.20160889625549316
2017-07-03 07:46:36.653180,opt5,split8,0.003,0.57181544633901704,761.5993499755859
2017-07-03 07:46:38.856402,opt5,split1,0.003,0.56519558676028081,82.59575891494751
2017-07-03 07:46:41.017774,opt5,split2,0.003,0.50962888665997996,183.2924599647522
2017-07-03 07:46:43.038065,opt5,split4,0.003,0.56128385155466398,398.3154480457306
2017-07-03 07:46:44.921665,opt6,0,0.003,0.58114343029087256,0
2017-07-03 07:46:46.690259,opt1,len5,0.003,0.58976930792377136,0.018006086349487305
2017-07-03 07:46:48.528086,opt2,len5,0.003,0.56770310932798396,0.0868380069732666
2017-07-03 07:46:50.301151,opt3,len5,0.003,0.61604814443329992,0.026649951934814453
2017-07-03 07:46:52.264764,opt4,len5,0.003,0.61494483450351056,0.1489880084991455
2017-07-03 08:11:33.557810,opt5,split8,0.003,0.49628886659979937,847.9985728263855
