currenttime,k,restarts,accuracy
2018-06-01 14:52:25.994417,8,5,0.8005506814455262
2018-06-01 14:52:26.357033,8,4,0.8005506814455262
2018-06-01 14:52:26.732871,8,3,0.8005506814455262
2018-06-01 14:52:27.095010,8,2,0.8005506814455262
2018-06-01 14:52:27.481737,8,99,0.8005502939963982
2018-06-01 14:52:27.890212,8,100,0.8009900487565982
2018-06-01 14:52:30.841509,3,5,0.9491206847000435
2018-06-01 14:52:31.188924,3,4,0.9491206847000435
2018-06-01 14:52:31.524137,3,3,0.9491206847000435
2018-06-01 14:52:31.860089,3,2,0.9491206847000435
2018-06-01 14:52:32.202540,3,99,0.9491206847000435
2018-06-01 14:52:32.549289,3,100,0.9493404890741505
2018-06-01 14:52:35.646009,4,20,0.9069230769230769
2018-06-01 14:52:35.986096,4,10,0.9069230769230769
2018-06-01 14:52:36.326925,4,5,0.9069230769230769
2018-06-01 14:52:36.668372,4,4,0.9069230769230769
2018-06-01 14:52:37.011301,4,3,0.9069230769230769
2018-06-01 14:52:37.350306,4,2,0.9089010989010989
2018-06-01 14:52:37.688813,4,99,0.9069230769230769
2018-06-01 14:52:38.032832,4,100,0.9071428571428573
2018-06-01 14:52:42.884452,5,20,0.8771428571428572
2018-06-01 14:52:43.283363,5,10,0.8771428571428572
2018-06-01 14:52:43.744888,5,5,0.8771428571428572
2018-06-01 14:52:44.102298,5,4,0.8771428571428572
2018-06-01 14:52:44.488941,5,3,0.8771428571428572
2018-06-01 14:52:44.835886,5,2,0.4414285714285714
2018-06-01 14:52:45.186337,5,99,0.8771428571428572
2018-06-01 14:52:45.570081,5,100,0.8772527472527472
2018-06-01 14:52:49.825180,6,20,0.8496678702032127
2018-06-01 14:52:50.183296,6,10,0.8496678702032127
2018-06-01 14:52:50.529488,6,5,0.8496678702032127
2018-06-01 14:52:50.877583,6,4,0.8496678702032127
2018-06-01 14:52:51.228319,6,3,0.8496678702032127
2018-06-01 14:52:51.577474,6,2,0.8496678702032127
2018-06-01 14:52:51.924060,6,99,0.8496678702032127
2018-06-01 14:52:52.276118,6,100,0.8499973961949728
2018-06-01 14:52:57.793221,7,20,0.8159389402803183
2018-06-01 14:52:58.159990,7,10,0.8159389402803183
2018-06-01 14:52:58.523894,7,5,0.8159389402803183
2018-06-01 14:52:58.897894,7,4,0.8159389402803183
2018-06-01 14:52:59.272174,7,3,0.8159389402803183
2018-06-01 14:52:59.634502,7,2,0.8159389402803183
2018-06-01 14:52:59.997151,7,99,0.8159389402803183
2018-06-01 14:53:00.372742,7,100,0.8158289655745007
2018-06-01 14:53:10.087972,8,20,0.7897869572225167
2018-06-01 14:53:10.455212,8,10,0.7897869572225167
2018-06-01 14:53:10.818592,8,5,0.7897869572225167
2018-06-01 14:53:11.179661,8,4,0.7897869572225167
2018-06-01 14:53:11.544515,8,3,0.7897869572225167
2018-06-01 14:53:11.908596,8,2,0.7897869572225167
2018-06-01 14:53:12.273725,8,99,0.7896771153947486
2018-06-01 14:53:12.645055,8,100,0.7898971864994127
2018-06-01 14:53:15.539697,3,5,0.950109768159996
2018-06-01 14:53:15.898223,3,4,0.41510588535992027
2018-06-01 14:53:16.234691,3,3,0.41510588535992027
2018-06-01 14:53:16.569408,3,2,0.41510588535992027
2018-06-01 14:53:16.915904,3,99,0.950109768159996
2018-06-01 14:53:17.253406,3,100,0.950109768159996
2018-06-01 14:53:20.431820,4,20,0.9041758241758242
2018-06-01 14:53:20.772166,4,10,0.9041758241758242
2018-06-01 14:53:21.107067,4,5,0.9041758241758242
2018-06-01 14:53:21.459661,4,4,0.9041758241758242
2018-06-01 14:53:21.817674,4,3,0.9041758241758242
2018-06-01 14:53:22.169593,4,2,0.9041758241758242
2018-06-01 14:53:22.500376,4,99,0.9041758241758242
2018-06-01 14:53:22.855122,4,100,0.9042857142857144
2018-06-01 14:53:26.096372,5,20,0.8783516483516483
2018-06-01 14:53:26.461083,5,10,0.8783516483516483
2018-06-01 14:53:26.819133,5,5,0.4467032967032966
2018-06-01 14:53:27.172798,5,4,0.4467032967032966
2018-06-01 14:53:27.527526,5,3,0.4467032967032966
2018-06-01 14:53:27.876035,5,2,0.4467032967032966
2018-06-01 14:53:28.229044,5,99,0.8783516483516483
2018-06-01 14:53:28.588163,5,100,0.8783516483516483
2018-06-01 14:53:32.318498,6,20,0.8459360389760682
2018-06-01 14:53:32.684123,6,10,0.8459360389760682
2018-06-01 14:53:33.044437,6,5,0.8459360389760682
2018-06-01 14:53:33.403034,6,4,0.6132834560014813
2018-06-01 14:53:33.768869,6,3,0.6132834560014813
2018-06-01 14:53:34.128532,6,2,0.6132834560014813
2018-06-01 14:53:34.482174,6,99,0.8459360389760682
2018-06-01 14:53:34.846018,6,100,0.8460456880988753
2018-06-01 14:53:40.854811,7,20,0.8186831518708292
2018-06-01 14:53:41.218406,7,10,0.8186831518708292
2018-06-01 14:53:41.579545,7,5,0.8186831518708292
2018-06-01 14:53:41.935011,7,4,0.8186831518708292
2018-06-01 14:53:42.306085,7,3,0.707721209041514
2018-06-01 14:53:42.658888,7,2,0.33267682438931157
2018-06-01 14:53:43.011927,7,99,0.8186831518708292
