currenttime,option,f,scaling,diff
2017-07-01 01:50:04.152701,opt1,0.9,0,0.0011215425575708509
2017-07-01 01:50:04.331685,opt2,0.9,10,0.0026799302007385088
2017-07-01 01:50:04.976359,opt3,0.9,100,0.0026979031491128117
2017-07-01 01:50:05.109125,opt1,0.7428637667412166,0,0.0016506068852421487
2017-07-01 01:50:05.230412,opt2,0.7428637667412166,10,0.0022351458314321215
2017-07-01 01:50:06.082537,opt3,0.7428637667412166,100,0.0022685341474183219
2017-07-01 01:50:06.207468,opt1,0.6131628621521651,0,0.0019952968627918758
2017-07-01 01:50:06.316397,opt2,0.6131628621521651,10,0.00288141119775526
2017-07-01 01:50:07.206300,opt3,0.6131628621521651,100,0.002895217063552032
2017-07-01 01:50:07.380496,opt1,0.5061071926713142,0,0.0074288494078745071
2017-07-01 01:50:07.502735,opt2,0.5061071926713142,10,0.003510088939226753
2017-07-01 01:50:08.143197,opt3,0.5061071926713142,100,0.0035110537568543792
2017-07-01 01:50:08.277295,opt1,0.41774299502515005,0,0.0036273518436415663
2017-07-01 01:50:08.376623,opt2,0.41774299502515005,10,0.0029144169938952707
2017-07-01 01:50:09.239424,opt3,0.41774299502515005,100,0.0029219854547743638
2017-07-01 01:50:09.439859,opt1,0.3448068164601558,0,0.0023346329025523784
2017-07-01 01:50:09.561193,opt2,0.3448068164601558,10,0.003107252028283978
2017-07-01 01:50:10.289998,opt3,0.3448068164601558,100,0.0031076385520755951
2017-07-01 01:50:10.476737,opt1,0.2846049894151541,0,0.008283299947291857
2017-07-01 01:50:10.638911,opt2,0.2846049894151541,10,0.0030316167035523557
2017-07-01 01:50:11.366264,opt3,0.2846049894151541,100,0.0030572493370648033
2017-07-01 01:50:11.464811,opt1,0.23491414941142824,0,0.0085967332347068066
2017-07-01 01:50:11.579059,opt2,0.23491414941142824,10,0.0027738642723920564
2017-07-01 01:50:12.091627,opt3,0.23491414941142824,100,0.0027691389565131599
2017-07-01 01:50:12.216257,opt1,0.19389912210286947,0,0.015018231414817392
2017-07-01 01:50:12.352679,opt2,0.19389912210286947,10,0.0059284706304323668
2017-07-01 01:50:13.214132,opt3,0.19389912210286947,100,0.0059396756500878674
2017-07-01 01:50:13.356784,opt1,0.16004514690350302,0,0.0064775512276810917
2017-07-01 01:50:13.459693,opt2,0.16004514690350302,10,0.0074887807288064627
2017-07-01 01:50:14.043091,opt3,0.16004514690350302,100,0.0074833906549410176
2017-07-01 01:50:14.166367,opt1,0.13210193408598622,0,0.021246932584803997
2017-07-01 01:50:14.306093,opt2,0.13210193408598622,10,0.0023169986674228117
2017-07-01 01:50:15.127844,opt3,0.13210193408598622,100,0.0023426723387993168
2017-07-01 01:50:15.323208,opt1,0.10903748927657292,0,0.012659720409365515
