currenttime,option,variant,length,diff,time
2017-06-29 15:34:31.824523,0,1,1,1.3751997912716558,0.018182039260864258
2017-06-29 15:34:31.842842,1,1,1,1.3751997912716558,0.018118858337402344
2017-06-29 15:34:31.863482,2,1,1,1.3751997911377278,0.0204770565032959
2017-06-29 15:34:31.881736,3,1,1,1.3751997911377278,0.018090009689331055
2017-06-29 15:34:31.900497,4,1,1,1.3751997911377276,0.01860499382019043
2017-06-29 15:34:31.921880,5,1,1,1.3751997911377276,0.02100682258605957
2017-06-29 15:34:31.940825,6,1,1,1.3751997912716558,0.018748998641967773
2017-06-29 15:34:31.959675,7,1,1,1.3751997912716558,0.018704891204833984
2017-06-29 15:34:31.977745,8,1,1,1.3751997911377278,0.017847061157226562
2017-06-29 15:34:31.996931,9,1,1,1.3751997911377278,0.019032001495361328
2017-06-29 15:34:32.018734,10,1,1,1.3751997911377276,0.02162790298461914
2017-06-29 15:34:32.038497,11,1,1,1.3751997911377276,0.019566059112548828
2017-06-29 15:34:32.059667,12,1,1,1.3751997912716558,0.02093791961669922
2017-06-29 15:34:32.080352,13,1,1,1.3751997912716558,0.020500898361206055
2017-06-29 15:34:32.100103,14,1,1,1.3751997911377278,0.019575834274291992
2017-06-29 15:34:32.129778,15,1,1,1.3751997911377278,0.029501914978027344
2017-06-29 15:34:32.148222,16,1,1,1.3751997911377276,0.018212080001831055
2017-06-29 15:34:32.175890,17,1,1,1.3751997911377276,0.027446985244750977
2017-06-29 15:34:32.200670,18,1,1,1.3751997912716558,0.02457404136657715
2017-06-29 15:34:32.224407,19,1,1,1.3751997912716558,0.023500919342041016
2017-06-29 15:34:32.244197,20,1,1,1.3751997911377278,0.019528865814208984
2017-06-29 15:34:32.266351,21,1,1,1.3751997911377278,0.02190995216369629
2017-06-29 15:34:32.288250,22,1,1,1.3751997911377276,0.020643949508666992
2017-06-29 15:34:32.308850,23,1,1,1.3751997911377276,0.01941514015197754
2017-06-29 15:34:32.328115,24,1,1,1.3751997912716558,0.018980026245117188
2017-06-29 15:34:32.347348,25,1,1,1.3751997912716558,0.018924951553344727
2017-06-29 15:34:32.366197,26,1,1,1.3751997911377278,0.01857590675354004
2017-06-29 15:34:32.386094,27,1,1,1.3751997911377278,0.01966094970703125
2017-06-29 15:34:32.406619,28,1,1,1.3751997911377276,0.020289897918701172
2017-06-29 15:34:32.426384,29,1,1,1.3751997911377276,0.019517898559570312
2017-06-29 15:34:32.446852,30,1,1,1.3751997912716558,0.020245075225830078
2017-06-29 15:34:32.466351,31,1,1,1.3751997912716558,0.018795013427734375
2017-06-29 15:34:32.492886,32,1,1,1.3751997911377278,0.026144981384277344
2017-06-29 15:34:32.514985,33,1,1,1.3751997911377278,0.021885156631469727
2017-06-29 15:34:32.588334,0,1,2,1.7137255423366098,0.07312703132629395
2017-06-29 15:34:32.622964,1,1,2,1.4418570457697937,0.0343470573425293
2017-06-29 15:34:32.658284,2,1,2,1.4569853490538138,0.03510308265686035
2017-06-29 15:34:32.695129,3,1,2,1.470556537975831,0.03645896911621094
2017-06-29 15:34:32.733376,4,1,2,1.4813170280468464,0.03794097900390625
2017-06-29 15:34:32.774042,5,1,2,1.4891532649948194,0.0404660701751709
2017-06-29 15:34:32.812390,6,1,2,1.4946193752023655,0.03810620307922363
2017-06-29 15:34:32.877013,7,1,2,1.4984654308182819,0.06433606147766113
2017-06-29 15:34:32.916685,8,1,2,1.5011368381590657,0.03945589065551758
2017-06-29 15:34:32.961557,9,1,2,1.5029279568990233,0.044660091400146484
2017-06-29 15:34:33.003203,10,1,2,1.5041965951534637,0.04144692420959473
2017-06-29 15:34:33.052539,11,1,2,1.5051459483869893,0.04911398887634277
2017-06-29 15:34:33.099828,12,1,2,1.5058042696696563,0.04714202880859375
2017-06-29 15:34:33.156815,13,1,2,1.506162271299762,0.056787967681884766
2017-06-29 15:34:33.214131,14,1,2,1.5065959094783481,0.05711698532104492
2017-06-29 15:34:33.262965,15,1,2,1.5068900958936615,0.04861187934875488
2017-06-29 15:34:33.314296,16,1,2,1.507087500410013,0.051032066345214844
2017-06-29 15:34:33.369199,17,1,2,1.5072254315024523,0.054676055908203125
2017-06-29 15:34:33.424384,18,1,2,1.507347003397647,0.054891109466552734
2017-06-29 15:34:33.477320,19,1,2,1.5074254774275442,0.052690982818603516
2017-06-29 15:34:33.533288,20,1,2,1.5074864599273328,0.05571913719177246
2017-06-29 15:34:33.585303,21,1,2,1.5075371644722433,0.05177903175354004
2017-06-29 15:34:33.642401,22,1,2,1.5075864248685378,0.05693197250366211
2017-06-29 15:34:33.695073,23,1,2,1.5076084738973579,0.05238914489746094
2017-06-29 15:34:33.752671,24,1,2,1.5076227446796691,0.05736899375915527
2017-06-29 15:34:33.818471,25,1,2,1.5076379005043059,0.0655508041381836
2017-06-29 15:34:33.874579,26,1,2,1.5076499494678173,0.0557100772857666
2017-06-29 15:34:33.946210,27,1,2,1.5076584308010608,0.07140588760375977
2017-06-29 15:34:34.010957,28,1,2,1.5076614270418107,0.06450796127319336
2017-06-29 15:34:34.065113,29,1,2,1.5076677560338878,0.05391812324523926
2017-06-29 15:34:34.122956,30,1,2,1.5076766526290983,0.057604074478149414
2017-06-29 15:34:34.180574,31,1,2,1.5076763407500748,0.05739998817443848
2017-06-29 15:34:34.240189,32,1,2,1.5076784980971165,0.05923581123352051
2017-06-29 15:34:34.297930,33,1,2,1.5076796702285813,0.05750894546508789
2017-06-29 15:34:34.355663,0,1,3,0.75894109610742777,0.05753183364868164
2017-06-29 15:34:34.396176,1,1,3,1.4330040770519497,0.04027700424194336
