currenttime,method,f,accuracy,precision,recall
2018-04-26 14:37:17.199389,GS,0.2260697788358622,0.66660877909077254,0.6666280749494039,0.66666666666666663
2018-04-26 14:37:17.259102,GS,0.0005678616100321739,0.66669544356804489,0.66673372762112437,0.66681029572728312
2018-04-26 14:37:17.390780,GS,0.0567861610032174,0.66659541901982688,0.6666191682354401,0.66666666666666663
2018-04-26 14:37:17.424514,GS,0.567861610032174,0.66661482923683113,0.66663210838010956,0.66666666666666663
2018-04-26 14:37:17.532774,GS,0.0001426403873215002,0.66568285541227146,0.66705509981244226,0.66891541255838094
2018-04-26 14:37:17.546118,GS,0.0014264038732150022,0.66650260457721933,0.66654512523789944,0.66661755605975781
2018-04-26 14:37:17.565455,GS,0.9,0.66666666666666663,0.66666666666666663,0.66666666666666663
2018-04-26 14:37:17.764143,GS,0.022606977883586222,0.66657499280380927,0.66660555075809513,0.66666666666666663
2018-04-26 14:37:17.771128,GS,0.00567861610032174,0.66656668869163027,0.66659672659408331,0.66665680239898994
2018-04-26 14:37:17.843128,GS,0.035829645349814754,0.6665737348578481,0.66660471212745431,0.66666666666666663
2018-04-26 14:37:18.478099,GS,0.014264038732150021,0.666575766398529,0.66660606648790821,0.66666666666666663
2018-04-26 14:37:18.778041,GS,0.14264038732150022,0.66658828347455634,0.66661441120525977,0.66666666666666663
2018-04-26 14:37:18.844080,GS,0.00022606977883586222,0.66560720905537385,0.6667870554296732,0.66839647119875456
2018-04-26 14:37:18.924373,GS,0.00035829645349814754,0.66645663623314377,0.66649981773308353,0.66658127487635177
2018-04-26 14:37:19.137497,GS,0.009000000000000001,0.66656635327796065,0.66659649195275195,0.66665676930233475
2018-04-26 14:37:19.182929,GS,0.0009000000000000001,0.66640331564032473,0.66644161289321524,0.6665182073989967
2018-04-26 14:37:19.223166,GS,9e-05,0.66499997546331635,0.66799995933339673,0.67181675397043161
2018-04-26 14:37:19.604966,GS,0.0035829645349814755,0.66652752339185362,0.66655749850774537,0.66661744873952888
2018-04-26 14:37:19.612728,GS,0.9,0.66666666666666663,0.66666666666666663,0.66666666666666663
2018-04-26 14:37:19.703104,GS,0.35829645349814754,0.66666666666666663,0.66666666666666663,0.66666666666666663
2018-04-26 14:37:20.612186,GS,0.002260697788358622,0.66648984494330721,0.66669943107976026,0.66693895258378488
2018-04-26 14:37:20.618701,GS,0.09000000000000001,0.66664205067481952,0.66665025600543515,0.66666666666666663
2018-04-26 14:37:20.698094,LCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-26 14:37:21.294818,LCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-26 14:37:21.448991,LCE,0.0567861610032174,0.65953304584883465,0.65955679506444798,0.6596042934956744
2018-04-26 14:37:21.519002,LCE,0.2260697788358622,0.65624448303310989,0.65626377889174126,0.65630237060900409
2018-04-26 14:37:21.893184,LCE,0.035829645349814754,0.66387029090533478,0.66390126817494088,0.6639632227141532
2018-04-26 14:37:21.930460,LCE,0.567861610032174,0.66020401244049109,0.66022129158376963,0.66025584987032671
2018-04-26 14:37:22.155126,LCE,0.00567861610032174,0.67147618296373823,0.67150622086619138,0.6715662966710978
2018-04-26 14:37:23.085077,LCE,0.009000000000000001,0.66571128419818648,0.66574142287297777,0.66580170022256058
2018-04-26 14:37:23.196867,LCE,0.0014264038732150022,0.66611389069117799,0.66614380085235625,0.66620362117471277
2018-04-26 14:37:23.544367,LCE,0.14264038732150022,0.65643920511662146,0.65646533284732478,0.65651758830873175
2018-04-26 14:37:23.557225,LCE,0.9,0.66540737942324646,0.66540737942324646,0.66540737942324646
2018-04-26 14:37:23.833162,LCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-26 14:37:23.912226,LCE,0.022606977883586222,0.6646553597242798,0.66468591767856555,0.66474703358713716
2018-04-26 14:37:23.971231,LCE,0.0009000000000000001,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.135662,LCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.184779,MCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.280433,LCE,0.014264038732150021,0.66275465082412577,0.66278495091350498,0.66284555109226351
2018-04-26 14:37:24.349241,LCE,0.9,0.66490366452587835,0.66490366452587835,0.66490366452587835
2018-04-26 14:37:24.616064,LCE,0.002260697788358622,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.669276,LCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.745261,MCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-26 14:37:24.952125,LCE,0.0035829645349814755,0.66714557874345415,0.66717555385934579,0.66723550409112942
2018-04-26 14:37:25.534738,MCE,0.2260697788358622,0.65624448303310989,0.65626377889174126,0.65630237060900409
2018-04-26 14:37:25.831694,MCE,0.00567861610032174,0.67233338658467245,0.67236342448712572,0.67242350029203213
2018-04-26 14:37:25.913579,MCE,0.035829645349814754,0.66387029090533478,0.66390126817494088,0.6639632227141532
2018-04-26 14:37:26.200972,MCE,0.567861610032174,0.66020401244049109,0.66022129158376963,0.66025584987032671
2018-04-26 14:37:26.427188,LCE,0.35829645349814754,0.6580718588724711,0.6580718588724711,0.6580718588724711
2018-04-26 14:37:26.688704,MCE,0.0567861610032174,0.65954639627070799,0.65957014548632131,0.65961764391754774
2018-04-26 14:37:26.741274,LCE,0.09000000000000001,0.66017990336000087,0.66018810869061662,0.66020451935184798
2018-04-26 14:37:27.310668,MCE,0.0014264038732150022,0.66611389069117799,0.66614380085235625,0.66620362117471277
2018-04-26 14:37:27.657277,MCE,0.14264038732150022,0.65636576750187514,0.65639189523257857,0.65644415069398543
2018-04-26 14:37:27.735711,MCE,0.9,0.66540737942324646,0.66540737942324646,0.66540737942324646
2018-04-26 14:37:28.039508,MCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-26 14:37:28.124305,MCE,0.0009000000000000001,0.0,0.33333333333333326,1.0
2018-04-26 14:37:28.154067,MCE,0.014264038732150021,0.66275465082412577,0.66278495091350498,0.66284555109226351
2018-04-26 14:37:28.246906,MCE,0.002260697788358622,0.0,0.33333333333333326,1.0
2018-04-26 14:37:28.410715,MCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-26 14:37:28.806844,DCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-26 14:37:28.863921,MCE,0.9,0.66490366452587835,0.66490366452587835,0.66490366452587835
2018-04-26 14:37:28.901060,MCE,0.0035829645349814755,0.66714557874345415,0.66717555385934579,0.66723550409112942
2018-04-26 14:37:28.977087,MCE,0.009000000000000001,0.66554666149271036,0.66557680016750165,0.66563707751708445
2018-04-26 14:37:29.284957,DCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-26 14:37:29.560219,DCE,0.2260697788358622,0.65696038417367064,0.656979680032302,0.65701827174956484
2018-04-26 14:37:29.560477,DCE,0.00567861610032174,0.67147618296373823,0.67159320764420105,0.67174027022711735
2018-04-26 14:37:29.736636,DCE,0.035829645349814754,0.66392253136818524,0.66395350863779135,0.66401546317700377
2018-04-26 14:37:29.924101,MCE,0.022606977883586222,0.6646553597242798,0.66468591767856555,0.66474703358713716
2018-04-26 14:37:30.222314,MCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-26 14:37:30.565350,DCE,0.0567861610032174,0.65986680639566797,0.65989055561128118,0.65993805404250772
2018-04-26 14:37:30.657891,DCE,0.567861610032174,0.66040799297492014,0.66042527211819857,0.66045983040475564
2018-04-26 14:37:31.069214,DCE,0.0014264038732150022,0.66611389069117799,0.66614380085235625,0.66620362117471277
