currenttime,option,k,f,accuracy
2018-02-26 10:34:30.692205,opt2,2,0.01,0.87101010101010101
2018-02-26 10:34:31.177467,opt3,2,0.01,0.87101010101010101
2018-02-26 10:34:31.663938,opt4,2,0.01,0.87101010101010101
2018-02-26 10:34:32.080941,opt5,2,0.01,0.87101010101010101
2018-02-26 10:34:47.753031,opt6,2,0.01,0.60919191919191917
2018-02-26 10:34:48.122533,opt1,2,0.01,0.87727272727272732
2018-02-26 10:34:48.859829,opt2,2,0.01,0.87727272727272732
2018-02-26 10:34:49.461746,opt3,2,0.01,0.87727272727272732
2018-02-26 10:34:49.992829,opt4,2,0.01,0.87727272727272732
2018-02-26 10:34:50.624071,opt5,2,0.01,0.87727272727272732
2018-02-26 10:35:05.757570,opt6,2,0.01,0.60444444444444445
2018-02-26 10:35:06.303381,opt1,2,0.01,0.88212121212121208
2018-02-26 10:35:06.784264,opt2,2,0.01,0.88212121212121208
2018-02-26 10:35:07.263381,opt3,2,0.01,0.88212121212121208
2018-02-26 10:35:07.904422,opt4,2,0.01,0.88212121212121208
2018-02-26 10:35:08.509210,opt5,2,0.01,0.88212121212121208
2018-02-26 10:35:21.290380,opt6,2,0.01,0.61222222222222222
2018-02-26 10:35:21.580976,opt1,2,0.01,0.87060606060606061
2018-02-26 10:35:21.903308,opt2,2,0.01,0.87060606060606061
2018-02-26 10:35:22.272127,opt3,2,0.01,0.87060606060606061
2018-02-26 10:35:22.706202,opt4,2,0.01,0.87060606060606061
2018-02-26 10:35:23.161412,opt5,2,0.01,0.87060606060606061
2018-02-26 10:35:36.001037,opt6,2,0.01,0.60929292929292933
2018-02-26 10:35:36.387137,opt1,2,0.01,0.88111111111111107
2018-02-26 10:35:36.877559,opt2,2,0.01,0.88111111111111107
2018-02-26 10:35:37.353096,opt3,2,0.01,0.88111111111111107
2018-02-26 10:35:38.035802,opt4,2,0.01,0.88111111111111107
2018-02-26 10:35:38.716027,opt5,2,0.01,0.88111111111111107
2018-02-26 10:35:55.315483,opt6,2,0.01,0.6204040404040404
2018-02-26 10:35:55.892144,opt1,2,0.01,0.8762626262626263
2018-02-26 10:35:56.612460,opt2,2,0.01,0.8762626262626263
2018-02-26 10:35:57.276654,opt3,2,0.01,0.8762626262626263
2018-02-26 10:35:58.070638,opt4,2,0.01,0.8762626262626263
2018-02-26 10:35:58.744432,opt5,2,0.01,0.8762626262626263
2018-02-26 10:36:13.704917,opt6,2,0.01,0.59484848484848485
2018-02-26 10:36:13.992393,opt1,2,0.01,0.86878787878787878
2018-02-26 10:36:14.324672,opt2,2,0.01,0.86878787878787878
2018-02-26 10:36:14.636056,opt3,2,0.01,0.86878787878787878
2018-02-26 10:36:15.074657,opt4,2,0.01,0.86878787878787878
2018-02-26 10:36:15.513556,opt5,2,0.01,0.86878787878787878
2018-02-26 10:36:25.745461,opt6,2,0.01,0.60232323232323237
2018-02-26 10:36:31.744782,opt1,3,0.01,0.71646464646464647
2018-02-26 10:36:32.143349,opt2,3,0.01,0.66444444444444439
2018-02-26 10:36:32.514720,opt3,3,0.01,0.67101010101010106
2018-02-26 10:36:32.930413,opt4,3,0.01,0.70979797979797976
2018-02-26 10:36:33.684287,opt5,3,0.01,0.71020202020202017
