currenttime,option,f,accuracy
2017-07-03 00:17:31.831656,opt1,0.9,0.999
2017-07-03 00:17:34.022641,opt2,0.9,0.999
2017-07-03 00:17:35.826060,opt3,0.9,0.999
2017-07-03 00:17:37.665550,opt4,0.9,0.999
2017-07-03 00:17:39.575436,opt5,0.9,0.999
2017-07-03 00:19:52.755762,opt1,0.9,0.997
2017-07-03 00:19:54.843882,opt2,0.9,0.997
2017-07-03 00:19:56.618154,opt3,0.9,0.997
2017-07-03 00:19:58.395720,opt4,0.9,0.997
2017-07-03 00:20:00.243984,opt5,0.9,0.997
2017-07-03 00:26:30.372850,opt6,0.9,0.997
2017-07-03 00:26:32.134792,opt1,0.567861610032174,0.99097431150196713
2017-07-03 00:26:33.989975,opt2,0.567861610032174,0.99074288359176121
2017-07-03 00:26:35.727436,opt3,0.567861610032174,0.99074288359176121
2017-07-03 00:26:37.512357,opt4,0.567861610032174,0.99074288359176121
2017-07-03 00:26:39.371590,opt5,0.567861610032174,0.99074288359176121
2017-07-03 00:32:02.212891,opt6,0.567861610032174,0.99074288359176121
2017-07-03 00:32:04.410160,opt1,0.35829645349814754,0.97272868941873147
2017-07-03 00:32:06.736168,opt2,0.35829645349814754,0.97257285335826715
2017-07-03 00:32:08.783336,opt3,0.35829645349814754,0.97241701729780272
2017-07-03 00:32:10.995480,opt4,0.35829645349814754,0.97226118123733829
2017-07-03 00:32:13.195943,opt5,0.35829645349814754,0.97226118123733829
2017-07-03 00:36:51.918556,opt6,0.35829645349814754,0.97023531245130124
2017-07-03 00:36:53.730963,opt1,0.2260697788358622,0.93642589481845195
2017-07-03 00:36:55.653648,opt2,0.2260697788358622,0.93629667915751391
2017-07-03 00:36:57.511128,opt3,0.2260697788358622,0.93590903217469956
2017-07-03 00:36:59.419158,opt4,0.2260697788358622,0.93603824783563772
2017-07-03 00:37:01.288988,opt5,0.2260697788358622,0.93603824783563772
2017-07-03 00:40:30.803897,opt6,0.2260697788358622,0.93565060085282337
2017-07-03 00:40:32.637036,opt1,0.14264038732150022,0.88581758805691624
2017-07-03 00:40:34.592927,opt2,0.14264038732150022,0.88558432470258919
2017-07-03 00:40:36.446694,opt3,0.14264038732150022,0.88570095637975277
2017-07-03 00:40:38.301322,opt4,0.14264038732150022,0.88628411476557034
2017-07-03 00:40:40.231625,opt5,0.14264038732150022,0.88640074644273381
2017-07-03 00:42:58.143321,opt6,0.14264038732150022,0.86214135759272215
2017-07-03 00:42:59.985000,opt1,0.09000000000000001,0.8323076923076923
2017-07-03 00:43:01.874183,opt2,0.09000000000000001,0.83285714285714285
2017-07-03 00:43:03.683592,opt3,0.09000000000000001,0.83285714285714285
2017-07-03 00:43:05.517114,opt4,0.09000000000000001,0.83241758241758246
2017-07-03 00:43:07.412990,opt5,0.09000000000000001,0.83263736263736265
2017-07-03 00:45:25.139368,opt6,0.09000000000000001,0.79296703296703297
2017-07-03 00:45:26.990987,opt1,0.0567861610032174,0.79452926208651398
2017-07-03 00:45:28.908730,opt2,0.0567861610032174,0.7919847328244275
2017-07-03 00:45:30.970948,opt3,0.0567861610032174,0.7951653944020356
2017-07-03 00:45:32.880335,opt4,0.0567861610032174,0.79421119592875322
2017-07-03 00:45:34.793323,opt5,0.0567861610032174,0.79421119592875322
2017-07-03 00:47:31.454777,opt6,0.0567861610032174,0.74257845631891428
2017-07-03 00:47:33.243404,opt1,0.035829645349814754,0.7724538477494296
2017-07-03 00:47:35.267042,opt2,0.035829645349814754,0.76394938809375645
2017-07-03 00:47:37.199647,opt3,0.035829645349814754,0.76260112009956438
2017-07-03 00:47:39.021611,opt4,0.035829645349814754,0.7724538477494296
2017-07-03 00:47:40.855387,opt5,0.035829645349814754,0.7724538477494296
2017-07-03 00:49:33.954810,opt6,0.035829645349814754,0.72204936735117198
2017-07-03 00:49:35.963004,opt1,0.022606977883586222,0.75516676897892365
2017-07-03 00:49:37.893486,opt2,0.022606977883586222,0.73214651115203599
2017-07-03 00:49:39.731681,opt3,0.022606977883586222,0.73644362594638835
2017-07-03 00:49:41.562597,opt4,0.022606977883586222,0.75649682832003273
