currenttime,choice,l,valueH,valueM
2020-03-03 23:06:42.927757,HrowEC,6,0.3326834074432987,550174333.3333334
2020-03-03 23:06:42.928030,HrowEC,7,0.32911770365019044,10453009626.444445
2020-03-03 23:06:42.928200,HrowEC,8,0.33046549627169286,198608563590.8889
2020-03-03 23:06:44.158655,Hrow,1,0.5720588235294117,213.33333333333334
2020-03-03 23:06:44.159053,Hrow,2,0.6287687471009638,6464.777777777777
2020-03-03 23:06:44.160988,Hrow,3,0.3997027736187497,88444.44444444444
2020-03-03 23:06:44.161478,Hrow,4,0.39297961099447337,1858054.7777777778
2020-03-03 23:06:44.161847,Hrow,5,0.3551569304456256,35542258.44444445
2020-03-03 23:06:44.162226,Hrow,6,0.34714269393531527,715260682.8888888
2020-03-03 23:06:44.162485,Hrow,7,0.3438880226873634,14226225212.222221
2020-03-03 23:06:44.162745,Hrow,8,0.33846584815759684,284766837603.8889
2020-03-03 23:06:44.162944,HrowEC,1,0.5720588235294117,213.33333333333334
2020-03-03 23:06:44.163112,HrowEC,2,0.43198485923823043,4242.222222222223
2020-03-03 23:06:44.163328,HrowEC,3,0.3809093225703036,80122.88888888889
2020-03-03 23:06:44.163547,HrowEC,4,0.3522247954996473,1525290.6666666667
2020-03-03 23:06:44.163729,HrowEC,5,0.346482559233911,28970591.333333332
2020-03-03 23:06:44.163907,HrowEC,6,0.3386628400774644,550444353.3333334
2020-03-03 23:06:44.164128,HrowEC,7,0.3410866473081062,10458551925.11111
2020-03-03 23:06:44.164337,HrowEC,8,0.33646900931687923,198712987963.77777
2020-03-03 23:06:45.409405,Hrow,1,0.6080114449213162,229.77777777777777
2020-03-03 23:06:45.409821,Hrow,2,0.6346951472418083,6371.555555555556
2020-03-03 23:06:45.410513,Hrow,3,0.41146446655675933,89142.22222222222
2020-03-03 23:06:45.410874,Hrow,4,0.39516464022192904,1850429.0
2020-03-03 23:06:45.411096,Hrow,5,0.3637809141526749,35565006.222222224
2020-03-03 23:06:45.411289,Hrow,6,0.3490584851939048,714521461.2222222
2020-03-03 23:06:45.411470,Hrow,7,0.3519822699338713,14222482921.777779
2020-03-03 23:06:45.411650,Hrow,8,0.3404069790702634,284623860668.7778
2020-03-03 23:06:45.411925,HrowEC,1,0.6080114449213162,229.77777777777777
2020-03-03 23:06:45.412096,HrowEC,2,0.43757982120051087,4149.333333333333
2020-03-03 23:06:45.412328,HrowEC,3,0.3895485575684199,80180.88888888889
2020-03-03 23:06:45.412541,HrowEC,4,0.3540755549192624,1523106.0
2020-03-03 23:06:45.412727,HrowEC,5,0.3546308352905923,28958669.777777776
2020-03-03 23:06:45.412909,HrowEC,6,0.3405603011124978,550242240.4444444
2020-03-03 23:06:45.413086,HrowEC,7,0.3490744924522385,10454529319.777779
2020-03-03 23:06:45.413358,HrowEC,8,0.3384295309343849,198638059418.8889
2020-03-03 23:06:46.622944,Hrow,1,0.5876436781609196,224.0
2020-03-03 23:06:46.623346,Hrow,2,0.6342755309143112,6497.555555555556
2020-03-03 23:06:46.623930,Hrow,3,0.38745873390168695,89126.66666666667
2020-03-03 23:06:46.624157,Hrow,4,0.40111136213397125,1857685.2222222222
2020-03-03 23:06:46.624333,Hrow,5,0.3405734785468351,35575313.333333336
2020-03-03 23:06:46.624545,Hrow,6,0.3544100230722377,714949915.7777778
2020-03-03 23:06:46.624758,Hrow,7,0.32892198524657396,14223518334.444445
2020-03-03 23:06:46.624928,Hrow,8,0.3455370283476896,284649230045.8889
2020-03-03 23:06:46.625138,HrowEC,1,0.5876436781609196,224.0
2020-03-03 23:06:46.625418,HrowEC,2,0.44617691154422784,4275.333333333333
2020-03-03 23:06:46.625579,HrowEC,3,0.36559866721394596,80390.88888888889
2020-03-03 23:06:46.625766,HrowEC,4,0.35962321348472254,1523050.4444444445
2020-03-03 23:06:46.625918,HrowEC,5,0.33159718957566936,28963672.444444444
2020-03-03 23:06:46.626098,HrowEC,6,0.3457005826476778,550253860.8888888
2020-03-03 23:06:46.626247,HrowEC,7,0.3260452587074785,10454482625.555555
2020-03-03 23:06:46.626423,HrowEC,8,0.34349777359324724,198636998738.22223
2020-03-03 23:06:47.844612,Hrow,1,0.6291012838801712,226.66666666666666
2020-03-03 23:06:47.846121,Hrow,2,0.6295131792695069,6418.555555555556
2020-03-03 23:06:47.846570,Hrow,3,0.4081437188723041,89114.0
2020-03-03 23:06:47.846765,Hrow,4,0.38891158893806627,1854297.5555555555
2020-03-03 23:06:47.846945,Hrow,5,0.35528825306350303,35568129.11111111
2020-03-03 23:06:47.847100,Hrow,6,0.34159607740030473,714763561.2222222
2020-03-03 23:06:47.847283,Hrow,7,0.342388987738268,14222551746.222221
2020-03-03 23:06:47.847433,Hrow,8,0.33259598569316173,284632384269.1111
2020-03-03 23:06:47.847619,HrowEC,1,0.6291012838801712,226.66666666666666
2020-03-03 23:06:47.847768,HrowEC,2,0.433584361480532,4196.444444444444
2020-03-03 23:06:47.847964,HrowEC,3,0.38285377022829825,80274.0
2020-03-03 23:06:47.848142,HrowEC,4,0.346989905025786,1524244.6666666667
2020-03-03 23:06:47.848351,HrowEC,5,0.345188604022141,28960467.333333332
2020-03-03 23:06:47.848583,HrowEC,6,0.33280096551395777,550217534.8888888
2020-03-03 23:06:47.848763,HrowEC,7,0.33922552043218773,10454225428.222221
2020-03-03 23:06:47.849019,HrowEC,8,0.33051975259049715,198632166749.33334
2020-03-03 23:06:49.157560,Hrow,1,0.5919282511210763,224.66666666666666
2020-03-03 23:06:49.157934,Hrow,2,0.634575403806173,6368.0
2020-03-03 23:06:49.159979,Hrow,3,0.3915105058247868,88977.11111111111
2020-03-03 23:06:49.160434,Hrow,4,0.38886366507079184,1850758.6666666667
2020-03-03 23:06:49.160758,Hrow,5,0.34242208041178707,35554192.44444445
2020-03-03 23:06:49.160938,Hrow,6,0.3415230189172804,714431920.7777778
2020-03-03 23:06:49.161202,Hrow,7,0.33018315050402686,14219519196.222221
2020-03-03 23:06:49.161360,Hrow,8,0.33255735953975646,284567278668.3333
2020-03-03 23:06:49.161541,HrowEC,1,0.5919282511210763,224.66666666666666
2020-03-03 23:06:49.161698,HrowEC,2,0.43622008388847766,4146.0
2020-03-03 23:06:49.161890,HrowEC,3,0.3695351603047661,80215.33333333333
2020-03-03 23:06:49.162121,HrowEC,4,0.34670585470847815,1523654.888888889
2020-03-03 23:06:49.162286,HrowEC,5,0.33298859624295685,28955165.111111112
2020-03-03 23:06:49.162441,HrowEC,6,0.33277987890239846,550119020.6666666
2020-03-03 23:06:49.162648,HrowEC,7,0.3271558237765397,10452456871.333334
2020-03-03 23:06:49.162839,HrowEC,8,0.3304909437382759,198597654972.0
2020-03-03 23:06:50.538685,Hrow,1,0.6169590643274854,220.66666666666666
