currenttime,option,k,f,time
2018-02-28 14:19:47.104883,opt2,2,0.01,0.16314911842346191
2018-02-28 14:19:47.133449,opt3,2,0.01,0.027516841888427734
2018-02-28 14:19:47.201879,opt4,2,0.01,0.06737518310546875
2018-02-28 14:19:47.276399,opt5,2,0.01,0.0735478401184082
2018-02-28 14:19:57.265445,opt6,2,0.01,9.988042116165161
2018-02-28 14:19:57.425463,opt2,2,0.01,0.15570497512817383
2018-02-28 14:19:57.464188,opt3,2,0.01,0.03770303726196289
2018-02-28 14:19:57.545248,opt4,2,0.01,0.08014583587646484
2018-02-28 14:19:57.696396,opt5,2,0.01,0.15012288093566895
2018-02-28 14:20:07.127411,opt6,2,0.01,9.42976689338684
2018-02-28 14:20:07.283680,opt2,2,0.01,0.15285396575927734
2018-02-28 14:20:07.313526,opt3,2,0.01,0.028522968292236328
2018-02-28 14:20:07.368631,opt4,2,0.01,0.05413484573364258
2018-02-28 14:20:07.486658,opt5,2,0.01,0.117034912109375
2018-02-28 14:20:16.884947,opt6,2,0.01,9.39719295501709
2018-02-28 14:20:17.061160,opt2,2,0.01,0.1726210117340088
2018-02-28 14:20:17.094188,opt3,2,0.01,0.03193211555480957
2018-02-28 14:20:17.126566,opt4,2,0.01,0.0312800407409668
2018-02-28 14:20:17.256660,opt5,2,0.01,0.1290879249572754
2018-02-28 14:20:27.139694,opt6,2,0.01,9.88182282447815
2018-02-28 14:20:27.314143,opt2,2,0.01,0.17071104049682617
2018-02-28 14:20:27.343357,opt3,2,0.01,0.028064966201782227
2018-02-28 14:20:27.394515,opt4,2,0.01,0.050292015075683594
2018-02-28 14:20:27.500732,opt5,2,0.01,0.10530304908752441
2018-02-28 14:20:37.951877,opt6,2,0.01,10.450258016586304
2018-02-28 14:20:38.085110,opt2,2,0.01,0.12970495223999023
2018-02-28 14:20:38.115381,opt3,2,0.01,0.029129981994628906
2018-02-28 14:20:38.173868,opt4,2,0.01,0.05735588073730469
2018-02-28 14:20:38.258619,opt5,2,0.01,0.08382487297058105
2018-02-28 14:20:48.140973,opt6,2,0.01,9.881294965744019
2018-02-28 14:20:48.293167,opt2,2,0.01,0.1488780975341797
2018-02-28 14:20:48.323309,opt3,2,0.01,0.029098033905029297
2018-02-28 14:20:48.378150,opt4,2,0.01,0.05382513999938965
2018-02-28 14:20:48.472984,opt5,2,0.01,0.09377598762512207
2018-02-28 14:20:58.597866,opt6,2,0.01,10.123783111572266
2018-02-28 14:20:58.738583,opt2,2,0.01,0.13708281517028809
2018-02-28 14:20:58.767408,opt3,2,0.01,0.02775287628173828
2018-02-28 14:20:58.825009,opt4,2,0.01,0.05665087699890137
2018-02-28 14:20:58.881656,opt5,2,0.01,0.055626869201660156
2018-02-28 14:21:08.047657,opt6,2,0.01,9.165038824081421
2018-02-28 14:21:08.185744,opt2,2,0.01,0.13449978828430176
2018-02-28 14:21:08.215867,opt3,2,0.01,0.029117822647094727
2018-02-28 14:21:08.287103,opt4,2,0.01,0.07019305229187012
2018-02-28 14:21:08.361471,opt5,2,0.01,0.0733180046081543
2018-02-28 14:21:18.168073,opt6,2,0.01,9.805591106414795
2018-02-28 14:21:18.301740,opt2,2,0.01,0.1301720142364502
2018-02-28 14:21:18.329614,opt3,2,0.01,0.026806116104125977
2018-02-28 14:21:18.385696,opt4,2,0.01,0.05503988265991211
2018-02-28 14:21:18.484696,opt5,2,0.01,0.09800004959106445
2018-02-28 14:21:27.352750,opt6,2,0.01,8.867012977600098
2018-02-28 14:21:27.509089,opt2,2,0.01,0.15265202522277832
2018-02-28 14:21:27.536175,opt3,2,0.01,0.02602100372314453
2018-02-28 14:21:27.595127,opt4,2,0.01,0.05792689323425293
2018-02-28 14:21:27.704571,opt5,2,0.01,0.10833096504211426
2018-02-28 14:21:37.502396,opt6,2,0.01,9.79668402671814
2018-02-28 14:21:37.727088,opt2,2,0.01,0.22031617164611816
2018-02-28 14:21:37.761053,opt3,2,0.01,0.03293800354003906
2018-02-28 14:21:37.835644,opt4,2,0.01,0.07335209846496582
2018-02-28 14:21:37.938579,opt5,2,0.01,0.10182690620422363
2018-02-28 14:21:48.767691,opt6,2,0.01,10.828094005584717
2018-02-28 14:21:48.920892,opt2,2,0.01,0.14976787567138672
2018-02-28 14:21:48.954612,opt3,2,0.01,0.03249001502990723
2018-02-28 14:21:48.991501,opt4,2,0.01,0.0357508659362793
2018-02-28 14:21:49.120164,opt5,2,0.01,0.12754106521606445
2018-02-28 14:21:59.423852,opt6,2,0.01,10.302635908126831
