n,type,time
2017-07-02 03:12:02.936478,100,MHE,0.001940011978149414
2017-07-02 03:12:02.946627,100,DHE,0.009958982467651367
2017-07-02 03:12:03.024819,100,DHEr,0.07802700996398926
2017-07-02 03:12:03.027663,100,LHE,0.0025701522827148438
2017-07-02 03:12:03.028736,100,MHE,0.0008220672607421875
2017-07-02 03:12:03.040159,100,DHE,0.011337995529174805
2017-07-02 03:12:03.173300,100,DHEr,0.132918119430542
2017-07-02 03:12:03.180504,100,LHE,0.00632476806640625
2017-07-02 03:12:03.184560,100,MHE,0.0037338733673095703
2017-07-02 03:12:03.209842,100,DHE,0.024861812591552734
2017-07-02 03:12:03.280076,100,DHEr,0.07004499435424805
2017-07-02 03:12:03.281950,100,LHE,0.001730203628540039
2017-07-02 03:12:03.283334,100,MHE,0.0011441707611083984
2017-07-02 03:12:03.292204,100,DHE,0.008805990219116211
2017-07-02 03:12:03.352700,100,DHEr,0.060369014739990234
2017-07-02 03:12:03.354561,100,LHE,0.00173187255859375
2017-07-02 03:12:03.356052,100,MHE,0.0012688636779785156
2017-07-02 03:12:03.366696,100,DHE,0.010542869567871094
2017-07-02 03:12:03.458687,100,DHEr,0.09190011024475098
2017-07-02 03:12:03.460419,100,LHE,0.00156402587890625
2017-07-02 03:12:03.462153,100,MHE,0.0014870166778564453
2017-07-02 03:12:03.472104,100,DHE,0.009884834289550781
2017-07-02 03:12:03.539647,100,DHEr,0.06743788719177246
2017-07-02 03:12:03.542005,100,LHE,0.002157926559448242
2017-07-02 03:12:03.546353,100,MHE,0.0041120052337646484
2017-07-02 03:12:03.558789,100,DHE,0.012369155883789062
2017-07-02 03:12:03.661779,100,DHEr,0.10287308692932129
2017-07-02 03:12:03.663401,100,LHE,0.001422882080078125
2017-07-02 03:12:03.664956,100,MHE,0.0012509822845458984
2017-07-02 03:12:03.683042,100,DHE,0.017948150634765625
2017-07-02 03:12:03.786054,100,DHEr,0.10205316543579102
2017-07-02 03:12:03.787699,100,LHE,0.0014810562133789062
2017-07-02 03:12:03.788600,100,MHE,0.0006930828094482422
2017-07-02 03:12:03.799401,100,DHE,0.01073312759399414
2017-07-02 03:12:03.876377,100,DHEr,0.07674288749694824
2017-07-02 03:12:03.878219,100,LHE,0.0016429424285888672
2017-07-02 03:12:03.879540,100,MHE,0.0010631084442138672
2017-07-02 03:12:03.918828,100,DHE,0.03920102119445801
2017-07-02 03:12:03.990661,100,DHEr,0.07164883613586426
2017-07-02 03:12:03.993259,100,LHE,0.0015211105346679688
2017-07-02 03:12:03.994310,100,MHE,0.0006930828094482422
2017-07-02 03:12:04.004787,100,DHE,0.010403156280517578
2017-07-02 03:12:04.070011,100,DHEr,0.06511402130126953
2017-07-02 03:12:04.072531,100,LHE,0.002332925796508789
2017-07-02 03:12:04.074638,100,MHE,0.0018160343170166016
2017-07-02 03:12:04.083368,100,DHE,0.008644819259643555
2017-07-02 03:12:04.240008,100,DHEr,0.15653204917907715
2017-07-02 03:12:04.242546,100,LHE,0.0023059844970703125
2017-07-02 03:12:04.243926,100,MHE,0.0011339187622070312
2017-07-02 03:12:04.251254,100,DHE,0.007261991500854492
2017-07-02 03:12:04.338612,100,DHEr,0.08724308013916016
2017-07-02 03:12:04.340597,100,LHE,0.0018050670623779297
2017-07-02 03:12:04.341952,100,MHE,0.0011019706726074219
2017-07-02 03:12:04.348715,100,DHE,0.006699085235595703
2017-07-02 03:12:04.420578,100,DHEr,0.07178783416748047
2017-07-02 03:12:04.423255,100,LHE,0.0025429725646972656
2017-07-02 03:12:04.424985,100,MHE,0.001497030258178711
2017-07-02 03:12:04.432011,100,DHE,0.006963014602661133
2017-07-02 03:12:04.501540,100,DHEr,0.0694279670715332
2017-07-02 03:12:04.503340,100,LHE,0.0016829967498779297
2017-07-02 03:12:04.507935,100,MHE,0.004374980926513672
2017-07-02 03:12:04.517178,100,DHE,0.009160995483398438
2017-07-02 03:12:04.640638,100,DHEr,0.12330198287963867
2017-07-02 03:12:04.646038,100,LHE,0.0038678646087646484
2017-07-02 03:12:04.654561,100,MHE,0.007061958312988281
2017-07-02 03:12:04.671076,100,DHE,0.016034841537475586
2017-07-02 03:12:04.872601,100,DHEr,0.2013261318206787
2017-07-02 03:12:04.877794,100,LHE,0.005013942718505859
2017-07-02 03:12:04.880771,100,MHE,0.002312898635864258
2017-07-02 03:12:04.889101,100,DHE,0.0082550048828125
