currenttime,option,f,accuracy
2018-06-18 19:00:14.044017,opt1,0.9,0.9048869755403531
2018-06-18 19:00:14.528595,opt2,0.9,0.8964787888375928
2018-06-18 19:00:15.249912,opt3,0.9,0.8964787888375928
2018-06-18 19:00:15.668906,opt4,0.9,0.8887186477441184
2018-06-18 19:00:21.334066,opt5,0.9,0.8887186477441184
2018-06-18 19:00:21.420024,opt1,0.567861610032174,0.8170079030504905
2018-06-18 19:00:21.842600,opt2,0.567861610032174,0.8202743147338715
2018-06-18 19:00:22.624181,opt3,0.567861610032174,0.8210635807165075
2018-06-18 19:00:23.237948,opt4,0.567861610032174,0.8029947904197622
2018-06-18 19:00:28.960333,opt5,0.567861610032174,0.8029947904197622
2018-06-18 19:00:29.130219,opt1,0.35829645349814754,0.7754865502520032
2018-06-18 19:00:29.795429,opt2,0.35829645349814754,0.7787035177772228
2018-06-18 19:00:30.585229,opt3,0.35829645349814754,0.7774336765073814
2018-06-18 19:00:30.939001,opt4,0.35829645349814754,0.7675308930572842
2018-06-18 19:00:33.771865,opt5,0.35829645349814754,0.7675308930572842
2018-06-18 19:00:33.858863,opt1,0.2260697788358622,0.7543849465499944
2018-06-18 19:00:34.473417,opt2,0.2260697788358622,0.7611882907833106
2018-06-18 19:00:35.357429,opt3,0.2260697788358622,0.7603379506472561
2018-06-18 19:00:35.997633,opt4,0.2260697788358622,0.7503708468501266
2018-06-18 19:00:42.548531,opt5,0.2260697788358622,0.7503708468501266
2018-06-18 19:00:42.656269,opt1,0.14264038732150022,0.719785948674793
2018-06-18 19:00:43.136632,opt2,0.14264038732150022,0.7303251620634684
2018-06-18 19:00:43.905043,opt3,0.14264038732150022,0.729850553615438
2018-06-18 19:00:44.282736,opt4,0.14264038732150022,0.7217010786883675
2018-06-18 19:00:48.547224,opt5,0.14264038732150022,0.7217010786883675
2018-06-18 19:00:48.701018,opt1,0.09000000000000001,0.688916894363668
2018-06-18 19:00:49.445525,opt2,0.09000000000000001,0.6913891869801418
2018-06-18 19:00:50.564674,opt3,0.09000000000000001,0.6915809415343126
2018-06-18 19:00:51.155228,opt4,0.09000000000000001,0.6862384295943474
2018-06-18 19:00:55.094025,opt5,0.09000000000000001,0.6862384295943474
2018-06-18 19:00:55.192357,opt1,0.0567861610032174,0.6433447800725679
2018-06-18 19:00:55.391428,opt2,0.0567861610032174,0.5723971572480714
2018-06-18 19:00:55.677284,opt3,0.0567861610032174,0.5739239667048001
2018-06-18 19:00:56.040735,opt4,0.0567861610032174,0.634798235482141
2018-06-18 19:00:59.852147,opt5,0.0567861610032174,0.634798235482141
2018-06-18 19:00:59.943252,opt1,0.035829645349814754,0.630865523612704
2018-06-18 19:01:00.370852,opt2,0.035829645349814754,0.3566966195654158
2018-06-18 19:01:01.082213,opt3,0.035829645349814754,0.362292835704264
2018-06-18 19:01:01.246492,opt4,0.035829645349814754,0.5400311574096219
2018-06-18 19:01:04.741130,opt5,0.035829645349814754,0.6327807946239127
2018-06-18 19:01:04.831442,opt1,0.022606977883586222,0.6048632590076035
2018-06-18 19:01:04.970833,opt2,0.022606977883586222,0.0
2018-06-18 19:01:05.065595,opt3,0.022606977883586222,0.0
2018-06-18 19:01:05.155099,opt4,0.022606977883586222,0.0
2018-06-18 19:01:10.903837,opt5,0.022606977883586222,0.6103705842109984
2018-06-18 19:01:11.061458,opt1,0.014264038732150021,0.5222114817183983
2018-06-18 19:01:11.262337,opt2,0.014264038732150021,0.0
2018-06-18 19:01:11.422358,opt3,0.014264038732150021,0.0
2018-06-18 19:01:11.557698,opt4,0.014264038732150021,0.0
2018-06-18 19:01:16.462871,opt5,0.014264038732150021,0.5268444127228843
2018-06-18 19:01:16.551409,opt1,0.009000000000000001,0.45774850865761213
2018-06-18 19:01:16.655465,opt2,0.009000000000000001,0.0
2018-06-18 19:01:16.764721,opt3,0.009000000000000001,0.0
2018-06-18 19:01:16.859793,opt4,0.009000000000000001,0.0
2018-06-18 19:01:20.220603,opt5,0.009000000000000001,0.46871323586194175
2018-06-18 19:01:20.369862,opt1,0.00567861610032174,0.3445152148129349
2018-06-18 19:01:20.482573,opt2,0.00567861610032174,0.0
2018-06-18 19:01:20.579454,opt3,0.00567861610032174,0.0
2018-06-18 19:01:20.754213,opt4,0.00567861610032174,0.0
2018-06-18 19:01:22.017713,opt5,0.00567861610032174,0.34887130965313534
2018-06-18 19:01:22.108437,opt1,0.0035829645349814755,0.21394852670336245
2018-06-18 19:01:22.249178,opt2,0.0035829645349814755,0.0
2018-06-18 19:01:22.351482,opt3,0.0035829645349814755,0.0
2018-06-18 19:01:22.450542,opt4,0.0035829645349814755,0.0
2018-06-18 19:01:23.894153,opt5,0.0035829645349814755,0.22435605492363359
2018-06-18 19:01:24.047200,opt1,0.002260697788358622,0.16594409640900176
2018-06-18 19:01:24.184460,opt2,0.002260697788358622,0.0
2018-06-18 19:01:24.298812,opt3,0.002260697788358622,0.0
2018-06-18 19:01:24.426738,opt4,0.002260697788358622,0.0
2018-06-18 19:01:25.997444,opt5,0.002260697788358622,0.18108001786573213
2018-06-18 19:01:26.168981,opt1,0.0014264038732150022,0.1206673151724168
2018-06-18 19:01:26.315749,opt2,0.0014264038732150022,0.0
2018-06-18 19:01:26.479681,opt3,0.0014264038732150022,0.0
2018-06-18 19:01:26.600705,opt4,0.0014264038732150022,0.0
2018-06-18 19:01:28.723789,opt5,0.0014264038732150022,0.13593212070629965
2018-06-18 19:01:28.817480,opt1,0.0009000000000000001,0.0716908550445882
